"","logFC","logCPM","F","PValue","FDR"
"Mirg",-1.18775842879758,10.6601141171703,32.2928364161317,1.65808221829138e-08,2.06054239106058e-06
"Paip2",-1.45287955177203,10.4730631711505,58.2257858192603,1.66830069980801e-08,2.06054239106058e-06
"Selenof",-1.51132707803264,10.4404626250798,74.6224249990633,1.77735802603402e-08,2.17861006524473e-06
"Cacna2d1",-1.22967433923685,10.6412018337616,32.1282656065197,1.80069980538521e-08,2.19062577828065e-06
"Nptn",-1.16290525612235,10.7551929272198,31.939498288044,1.97950820559918e-08,2.39018229601453e-06
"Creg2",-1.41261583915195,10.4536440697033,61.9077796019408,2.31566707427583e-08,2.77536987124318e-06
"Dync1i1",-1.30404668449621,10.566499309813,38.1328698508403,2.39923257128894e-08,2.85438110319522e-06
"Uqcrq",-1.34077879863284,10.4981950143124,46.701611463478,2.50232940283896e-08,2.95530582028718e-06
"Dynll1",-1.3108116078005,10.5841707504435,36.5944949939974,2.66907524082003e-08,3.12939401423681e-06
"Slc25a3",-1.2025244312295,10.6214572374905,32.7845164899358,2.90316114201248e-08,3.37936311350805e-06
"Hspa5",-1.19916330479877,10.7693961045822,30.9228223736465,3.29780868292854e-08,3.81132460641312e-06
"Lypd1",-1.37467863771855,10.4899044501666,44.9962597330071,3.35839753726388e-08,3.85382072006593e-06
"Pcmt1",-1.43753689986282,10.4773692030924,53.3930132122782,3.40632308674339e-08,3.88128926362733e-06
"Prpf4b",-1.11748045242024,10.8116211981356,30.7814453236733,3.5406291013504e-08,4.00611040977968e-06
"Kcnma1",-1.19945355877997,10.7623433743018,30.593217636322,3.89199258271482e-08,4.3730861103004e-06
"Emc4",-1.36586472972054,10.4962750763734,46.2966321395301,4.24921915207363e-08,4.73395267255628e-06
"Dusp11",-1.27764821795121,10.569822582213,36.9315241516986,4.2716754647294e-08,4.73395267255628e-06
"Cttnbp2",-1.16310353538168,10.7514096930602,30.3213957654015,4.46207056598701e-08,4.91131304473944e-06
"Pgam1",-1.35824886572141,10.5095591848838,43.5931376932487,5.00536633113941e-08,5.47208292147539e-06
"Trmt112",-1.48231554404837,10.4634291112077,59.7807601274135,5.04908405053322e-08,5.48283086829715e-06
"Zdbf2",-1.31238174496427,10.4570855754898,56.2731875184993,5.1204899767112e-08,5.52330185487915e-06
"Smim12",-1.28628973800003,10.4304044020773,72.6961033928533,5.34612462426361e-08,5.71555745978938e-06
"Arpp21",-1.18989677915107,11.4133576578155,29.9535186172481,5.36937412786147e-08,5.71555745978938e-06
"Hsp90aa1",-1.10516361878853,11.0322941188212,29.9083951795913,5.4927200236983e-08,5.80864117538814e-06
"Slc17a7",-1.29617121826085,10.7212188259443,29.7272620839563,6.01714307822489e-08,6.32190746790122e-06
"Pfdn2",-1.38467160733571,10.4454596159794,62.4020157035799,6.54525732316299e-08,6.83240409605014e-06
"Rps24",-1.17439233924402,10.6391546599057,30.5640250268122,6.65492690688191e-08,6.85940625852031e-06
"Nrp2",-1.33106296258009,10.481364571771,47.5161501611171,6.65591336580772e-08,6.85940625852031e-06
"Tenm3",-1.36510260750964,10.4768693333318,49.6998749916999,6.75661267230681e-08,6.91911348341292e-06
"Ddx50",-1.31140884111112,10.5889854278579,35.3662336905762,7.07769743172993e-08,7.20233612864089e-06
"Csf2ra",-1.2519086925126,10.4128287480587,86.4012225462794,7.43688200243148e-08,7.50220325428397e-06
"Reep5",-1.2918018387251,10.5902344033843,33.2861102557612,7.46510954227268e-08,7.50220325428397e-06
"Ywhah",-1.33835787566139,10.5210290598121,41.1426147600538,7.56790733031433e-08,7.51949742011426e-06
"Dnajc24",-1.35096965214819,10.4448242265401,62.2511901610828,7.575266251413e-08,7.51949742011426e-06
"Baiap3",-1.19358083011826,10.4463343718254,55.9588404619992,7.90142661464485e-08,7.79543186737523e-06
"Rpl9-ps6",-1.10820794059237,10.7278006408363,29.1266221986743,8.14340104950245e-08,7.98546842308786e-06
"Abhd8",-1.33442967692955,10.4311886791892,67.7387113939423,8.40590545477282e-08,8.19322591917014e-06
"Kif3a",-1.2774544562332,10.5625337837678,36.1535424891119,8.8489263937203e-08,8.57339096110147e-06
"Gda",-1.28949891036937,10.5356620367958,36.183859093699,9.99219182772925e-08,9.6234323674202e-06
"Bex2",-1.39890499493808,10.4750046191939,50.8647613917888,1.00976913896724e-07,9.66749388668041e-06
"Mrpl4",-1.40797558438391,10.4858865558824,48.3377823496464,1.22859854115111e-07,1.16933672916617e-05
"Fras1",-1.32621097734816,10.4677290542142,46.503078136903,1.2455778473659e-07,1.17856430236142e-05
"2310035C23Rik",-1.28000879344463,10.5244512788522,38.831725262614,1.26052528889218e-07,1.18368849184249e-05
"Cd81",-1.25658493820273,10.6182587550592,30.8741267536663,1.26562490166101e-07,1.18368849184249e-05
"Rpl35",-1.21167296087668,10.5821638038659,33.1513034924067,1.393346067472e-07,1.29565168802856e-05
"Atp6v0b",-1.09994476850562,10.7070359693801,28.0473181000457,1.40382292745971e-07,1.29793456950275e-05
"Chmp1b",-1.02041542087979,10.3912109390258,108.302045373992,1.4784578912499e-07,1.35476347080761e-05
"Wrb",-1.33747432208468,10.4320527681116,66.2006926020742,1.48203420477718e-07,1.35476347080761e-05
"Atp5b",-1.15390165196266,10.6210941194895,29.188632918423,1.65558493792581e-07,1.50091368291601e-05
"Rgs11",1.26615171974994,10.4619441619236,49.6118773353589,1.66046692980202e-07,1.50091368291601e-05
"Syt10",-1.25495026752893,10.4159153046902,73.4001672870708,1.79241039167572e-07,1.61117778540629e-05
"Olfm1",-1.16550478082387,10.7164661767468,27.5272345269575,1.82578194228091e-07,1.62831442471842e-05
"Frmd6",-1.26418352501602,10.4243917928158,65.3563866604892,1.83160213410848e-07,1.62831442471842e-05
"Pcdh9",-1.05563875111069,11.0178583107887,27.4436413335593,1.90460424229553e-07,1.683961565046e-05
"Rundc3a",-1.29585076682886,10.4651931690904,49.4375809275067,1.93079574415128e-07,1.69784104023737e-05
"Tenm4",-1.13426142117799,10.6539515395615,27.2415014824535,2.10961887390896e-07,1.84506126377552e-05
"Pdhb",-1.28947593325485,10.4841526860662,44.3287038459776,2.13109740505396e-07,1.85382559213834e-05
"Slit2",-1.28543409724727,10.4768837920827,42.8268387486776,2.21449556863671e-07,1.9160715668739e-05
"H2afz",-1.27835924411874,10.5295613559914,36.5233073387713,2.37154071078757e-07,2.04103876066718e-05
"Atxn10",-1.28459262997834,10.5285310279296,36.8879710871008,2.45344229149895e-07,2.10035430034143e-05
"Ube3a",-1.09862633024955,10.6576709316051,26.8156112901565,2.61701820342852e-07,2.22859760691966e-05
"Apbb2",-1.35576831582203,10.481523386207,45.4874827772798,2.66374073349866e-07,2.25650916586431e-05
"Vamp2",-1.14950079511636,10.602977253363,29.3701541705591,2.74767601035038e-07,2.31548947122236e-05
"Terf1",-1.29592879471448,10.4759235963975,45.4342222024991,3.2555179966793e-07,2.7292373671643e-05
"Fip1l1",-1.29614356373251,10.4886636191131,42.6170254569255,3.31597922811184e-07,2.76559504695101e-05
"Rps3a1",-1.08343355145375,10.6824423902163,26.3067074358992,3.38655730829479e-07,2.80997421785691e-05
"H3f3b",-1.10269047901886,10.7286136139583,26.2567111015268,3.4734665584843e-07,2.8673820875651e-05
"Arhgap33",-1.23084614381497,10.5258125676008,35.0094989807967,3.66107601620466e-07,2.99525552745529e-05
"Nkain3",-1.260358601165,10.507173221861,36.1395933338665,3.66539304348669e-07,2.99525552745529e-05
"Spock3",-1.25299405142606,10.5445238741381,30.2969808321866,3.74859811753457e-07,3.04785515284971e-05
"Trim35",-1.35451146677061,10.4957395991122,41.8806195098255,3.78555128242862e-07,3.06251098748475e-05
"Hpcal4",-1.21339267667557,10.52680255142,35.1283634071847,4.13664216635247e-07,3.32226182374273e-05
"Romo1",-0.925559395194471,10.3851139698121,127.051275854863,4.1476939950311e-07,3.32226182374273e-05
"Cltc",-1.06454378034548,10.7394072149763,25.8443899970293,4.28116584781708e-07,3.41227898609263e-05
"Ndufs3",-1.4827143665523,10.4534939667111,57.7501643305735,4.94919298131656e-07,3.92538933518147e-05
"Atp5a1",-1.2283073512711,10.5530183295687,33.3402846837605,5.2270866987236e-07,4.12557379440721e-05
"Rmst",-1.25928403559817,10.4829557447604,34.9551795261096,5.4885425232047e-07,4.28592189358092e-05
"Myo9a",-1.12491773774309,10.5958838326617,29.1484310934268,5.52751102364084e-07,4.28592189358092e-05
"Syf2",-0.981363534018145,10.3921207283952,97.0351640219234,5.53214487290557e-07,4.28592189358092e-05
"BC031181",-1.26653559283276,10.4938046895542,39.4975178216677,5.53620318762925e-07,4.28592189358092e-05
"Mturn",-1.26037106385653,10.4462596860209,51.2505360392538,5.70230534252512e-07,4.39349049724079e-05
"Cog7",-1.20140564636258,10.4178430913002,67.6016898416288,6.3591691546599e-07,4.8763676266539e-05
"Dab1",-1.0649793907275,10.8432128103932,25.0313458272911,6.4689639970606e-07,4.93716214492644e-05
"Prrt2",-1.29664685749625,10.4703079775518,44.2348340554973,6.56530087975979e-07,4.98716282791143e-05
"Morf4l1",-1.01086617333086,10.704931543881,24.9904013367673,6.60497243420909e-07,4.99385298997678e-05
"Specc1",-1.17498233461973,10.5354876979103,31.867303803236,6.63586194075991e-07,4.99387191634862e-05
"Cops6",-1.28944125073355,10.4289204805942,62.1844947105554,6.90408194583252e-07,5.17166879090603e-05
"Opa1",-1.23962680115492,10.4973152481288,36.6232872088036,7.22690242513285e-07,5.38853830592855e-05
"Srsf5",-0.968800756081201,10.8946805825859,24.7060540719436,7.6321574637919e-07,5.64014299189867e-05
"Mapt",-1.01490510096138,10.875805971644,24.7055632672775,7.63406251684678e-07,5.64014299189867e-05
"Erp29",-1.29762365942027,10.4564836036906,48.0009452610815,8.02488839721492e-07,5.90194064849716e-05
"Atp6v0a1",-1.00245313544707,10.7296526790705,24.5282932495474,8.35433629737491e-07,6.11643263762562e-05
"Qtrt1",-1.2142023087325,10.4772457622706,42.0862671138028,8.8251097248096e-07,6.43199438501889e-05
"Btbd10",-1.23235013594985,10.4518611112674,47.7195692531098,9.26728887047927e-07,6.72397909974684e-05
"Syt5",-1.17261669648749,10.578041187813,27.5468058873201,9.58614914032486e-07,6.92428094153822e-05
"Pcdh7",-1.09677148669514,10.6636348427464,24.1621763746129,1.00653789934255e-06,7.23812587171666e-05
"Gpr75",-1.11770886546083,10.4065148399387,76.397556819353,1.05370929839303e-06,7.54381258761024e-05
"Rpsa",-0.956872693828905,10.8460663008548,23.9326482512887,1.13134127756694e-06,8.06392152908946e-05
"Abcb7",-1.0275920228106,10.3947738484074,98.1291790525611,1.18639678057919e-06,8.41925434639089e-05
"Rps5",-1.02184858215467,10.7155869010117,23.7975189020853,1.21196981314743e-06,8.55255170911577e-05
"Stx18",-1.24323869526468,10.4226781041999,64.2034925567225,1.2157520970931e-06,8.55255170911577e-05
"Rplp2",-1.27897508276796,10.4209035426437,66.7054245245363,1.29523944489845e-06,9.07228321145321e-05
"Plcxd3",-1.14445903173452,10.4512842301269,44.1393343571913,1.34379998647237e-06,9.37184645738056e-05
"Scn2a",-0.872680945370354,11.1138167363255,23.5828125610977,1.35212192132903e-06,9.38941317043075e-05
"Adprh",-1.29175060614735,10.4563977584834,46.9547247423819,1.37062044673812e-06,9.47719608043708e-05
