,SYMBOL,Astro_M_E18_WB_2,Astro_M_P120_CORT_2,L2_3_IT_M_E18_WB_2,L2_3_IT_M_P30_CORT_2,L2_3_IT_M_P60_CORT_2,L2_3_IT_M_P120_CORT_2,L4_M_E18_WB_2,L4_M_P30_CORT_2,L4_M_P60_CORT_2,L4_M_P120_CORT_2,L5_M_E18_WB_2,L5_M_P30_CORT_2,L5_M_P60_CORT_2,L5_M_P120_CORT_2,L6_M_E18_WB_2,L6_M_P30_CORT_2,L6_M_P60_CORT_2,L6_M_P120_CORT_2,Lamp5_M_E18_WB_2,Lamp5_M_P30_CORT_2,Lamp5_M_P60_CORT_2,Lamp5_M_P120_CORT_2,Oligo_M_E18_WB_2,Oligo_M_P30_CORT_2,Oligo_M_P60_CORT_2,Oligo_M_P120_CORT_2,Pvalb_M_E18_WB_2,Pvalb_M_P30_CORT_2,Pvalb_M_P60_CORT_2,Pvalb_M_P120_CORT_2,Sncg_M_P120_CORT_2,Sst_M_E18_WB_2,Sst_M_P30_CORT_2,Sst_M_P60_CORT_2,Sst_M_P120_CORT_2,Vip_M_E18_WB_2,Vip_M_P30_CORT_2,Vip_M_P60_CORT_2,Vip_M_P120_CORT_2
23,Fosb,1.0,1.0,1.0,0.0067925684102377,1.0,1.0,1.0,0.0478027312937012,1.0,1.0,1.0,0.0038682768248839,0.0377900316298511,1.0,1.0,5.04434703325618e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Adarb2,1.0,1.0,1.0,1.0,5.07873745725362e-07,0.0001936960999404,1.0,1.0,1.0,1.0,1.0,1.0,3.71593339557053e-07,1.06715805782785e-13,1.0,1.0,1.0,3.01824954574894e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0207647034920829,1.0,1.0,1.0,3.79262648210199e-05,1.0,1.0,1.0,1.0,1.0
25,Gm37170,1.0,1.0,1.0,1.0,0.0412919039326305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Htr4,1.0,1.0,1.0,1.0,0.0022728223158465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0096637079807297,1.0,1.0,1.0,1.0,1.0
27,Ttr,1.0,1.0,1.0,1.0,4.26822951982153e-10,6.68954346760404e-10,1.0,1.0,0.0039136152447598,0.0027133031437486,1.0,1.0,0.0,1.28591614380945e-08,1.0,1.0,3.29869465076626e-13,2.65982522202621e-13,1.0,1.0,1.0,1.0,1.0,1.0,0.0386547277005433,1.0,1.0,1.0,0.0042048907489198,0.0467454173733666,1.0,1.0,1.0,1.0,4.58663241780838e-08,1.0,1.0,1.0,4.93014425305212e-05
28,2700069I18Rik,1.0,1.0,1.0,1.0,0.0304718974307392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Car8,1.0,1.0,0.0813100973643434,1.0,1.0,1.0,0.0446650062862195,1.0,1.0,1.0,1.36628179358101e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0606478500882003,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Trhde,1.0,1.0,1.0,1.0,1.0,1.0,0.0449807512318623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Bckdhb,1.0,1.0,1.0,1.0,1.0,1.0,0.0485317462309375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Cep112,1.0,1.0,1.0,1.0,0.0229685577183293,1.0,0.0043781301502692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0100873248822403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Cartpt,1.0,1.0,1.0,1.0,1.0,1.85792584208937e-05,1.0,1.0,1.0,0.0224930623830963,1.0,1.0,1.0,0.0038616132359956,1.0,1.0,1.0,1.17202769537081e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002715695296347,1.0,1.0,1.0,1.0,0.0001559938455954,1.0,1.0,1.0,1.0
34,Comtd1,1.0,1.0,1.0,1.0,1.0,2.83369078345029e-05,1.0,1.0,1.0,0.0156679269229027,1.0,1.0,1.0,0.0099008755984391,1.0,1.0,1.0,1.36846653034493e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019290247278983,1.0,1.0,1.0,1.0
35,Fra10ac1,1.0,1.0,1.0,1.0,1.0,0.001851252229875,1.0,1.0,1.0,0.0230544401964748,1.0,1.0,1.0,2.48871841225802e-05,1.0,1.0,1.0,0.0360015645638416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,Sft2d3,1.0,1.0,1.0,1.0,1.0,2.22021298281481e-08,1.0,1.0,1.0,0.0066750148235186,1.0,1.0,1.0,4.79775282908273e-06,1.0,1.0,1.0,3.6704473284273e-09,1.0,1.0,1.0,0.0015965452708522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.69367712746918e-05,1.0,1.0,1.0,0.0019569514377964
37,Gadd45g,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0478027312937012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Gm47283,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.68958205601666e-13,1.0,1.0,1.0,1.0,0.0318424688652325,1.0,1.0,0.0,1.0,1.0,1.0,6.94120382881414e-05,1.0,1.0,1.0,2.64426719606692e-06,1.0,1.0,1.0,2.70318747609688e-06,1.0,1.0,1.0,1.0,6.93374924249923e-06,1.0,1.0,1.0,0.0171805904044064,1.0,1.0
39,Arc,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0035760032407752,0.0046751752029587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0136175087489648,1.0,1.0,1.0,1.0,1.0,1.0
40,Tnnc1,1.0,1.0,1.0,1.0,0.0053732027700612,1.0,1.0,1.0,0.0124707756408862,0.0989455844568025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,Pcp2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.40561512780055e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,Irx2,1.0,1.0,1.0,1.0,1.0,1.0,0.0787436285869949,1.0,1.0,1.0,8.40561512780055e-06,1.0,1.0,1.0,0.0693235044561993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Sox14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0436235468656584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0520784435146523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,Gm10635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001382998826961,1.0,1.0,0.0045978054393044,0.0015666502556821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,Ndufaf8,1.0,1.0,1.0,1.0,1.0,1.07549132772233e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6330672446513397e-11,1.0,1.0,1.0,1.71099042526694e-08,1.0,1.0,1.0,0.0226439452927986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0031151129601422,1.0,1.0,1.0,0.0967473169706073
46,Snhg10,1.0,1.0,1.0,1.0,1.0,4.69624339416441e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.63836602401218e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,Lefty1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020073263813534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,C1ra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.031364940615116,0.0575061632101061,1.0,1.0,1.0,1.0,0.0123478443974362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Fam167a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028176243970599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,Prox1,1.0,1.0,1.0,1.0,1.51051624500163e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.70141421216867e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011573438244529,1.0,1.0,1.0,1.0,1.0
