,gene,celltype,logfc,pv
71,Igfbpl1,Lamp5_M_E18_WB,-0.578754028025695,0.000169595006292379
72,Igfbpl1,Non_neuronal_M_E18_WB,-0.7695526945454509,0.263018766313218
73,Igfbpl1,Oligo_M_E18_WB,-0.530677530169127,0.767149934169894
74,Igfbpl1,Pvalb_M_E18_WB,-0.597172754625089,0.000386874543422426
75,Igfbpl1,Sst_M_E18_WB,-0.650543957381496,1.71706698125798e-08
76,Igfbpl1,Vip_M_E18_WB,-0.8447002336601791,3.4374935038714602e-09
77,Hbb-bt,Astro_M_E18_WB,-0.766530252478301,0.00917761651543988
78,Hbb-bt,L2_3_IT_M_E18_WB,-0.6424927149562271,8.083869564553e-06
79,Hbb-bt,L4_M_E18_WB,-0.775781296448365,0.000328714720345962
80,Hbb-bt,L5_M_E18_WB,-0.7954194955726999,7.393503411217049e-32
81,Hbb-bt,L6_M_E18_WB,-0.734272267433245,1.66315680018483e-11
82,Hbb-bt,Lamp5_M_E18_WB,-0.7891955399007021,1.20360511371709e-06
83,Hbb-bt,Non_neuronal_M_E18_WB,-0.615913728681286,0.39654327536118106
84,Hbb-bt,Oligo_M_E18_WB,-0.27112084689157,0.865563635659813
85,Hbb-bt,Pvalb_M_E18_WB,-0.7642289243441149,3.6688588779125205e-05
86,Hbb-bt,Sst_M_E18_WB,-0.7938774174830909,1.5467985286388098e-10
87,Hbb-bt,Vip_M_E18_WB,-0.988955802343249,5.142971388835679e-10
88,Apoe,Astro_M_E18_WB,0.7611626742208559,0.000819696248193555
89,Apoe,L2_3_IT_M_E18_WB,0.422217091888101,3.25169623119175e-07
90,Apoe,L4_M_E18_WB,0.20679017844970896,0.278301528005313
91,Apoe,L5_M_E18_WB,0.22533026268246803,1.05791200614081e-06
92,Apoe,L6_M_E18_WB,0.33785094252249503,2.99272942276986e-06
93,Apoe,Lamp5_M_E18_WB,0.392643324858666,0.000160988210826193
94,Apoe,Non_neuronal_M_E18_WB,0.271178818180297,0.726806980935755
95,Apoe,Oligo_M_E18_WB,0.25864012614654397,0.767149934169894
96,Apoe,Pvalb_M_E18_WB,0.233353061508185,0.19121014768846697
97,Apoe,Sst_M_E18_WB,0.291074063256286,0.00127265237494081
98,Apoe,Vip_M_E18_WB,0.0664787593146135,0.7650682000704839
99,Sparcl1,Astro_M_E18_WB,0.706159153315259,0.00013416110358898702
100,Sparcl1,L2_3_IT_M_E18_WB,0.250842549439374,0.00242127372214528
101,Sparcl1,L4_M_E18_WB,0.154215488997547,0.346471962530045
102,Sparcl1,L5_M_E18_WB,0.29461552750520503,1.1869450859182002e-15
103,Sparcl1,L6_M_E18_WB,0.319311034405229,2.33675488505087e-07
104,Sparcl1,Lamp5_M_E18_WB,0.24205567330956101,0.0164183565018383
105,Sparcl1,Non_neuronal_M_E18_WB,0.136081074189041,0.7665421123825219
106,Sparcl1,Oligo_M_E18_WB,0.504514639292711,0.767149934169894
107,Sparcl1,Pvalb_M_E18_WB,0.20307652248573496,0.20302822581445898
108,Sparcl1,Sst_M_E18_WB,0.188978372686474,0.0405670213052375
109,Sparcl1,Vip_M_E18_WB,0.25212085529432005,0.0288896204011988
110,Malat1,Astro_M_E18_WB,0.741577298473604,0.258944187388825
