,SYMBOL,Astro_F_P150_CORT_2,L2_3_IT_F_P30_CORT_2,L2_3_IT_F_P60_CORT_2,L2_3_IT_F_P150_CORT_2,L4_F_P30_CORT_2,L4_F_P60_CORT_2,L4_F_P150_CORT_2,L5_F_P30_CORT_2,L5_F_P60_CORT_2,L5_F_P150_CORT_2,L6_F_P30_CORT_2,L6_F_P60_CORT_2,L6_F_P150_CORT_2,Lamp5_F_P30_CORT_2,Lamp5_F_P60_CORT_2,Oligo_F_P30_CORT_2,Oligo_F_P60_CORT_2,Pvalb_F_P30_CORT_2,Pvalb_F_P150_CORT_2,Sst_F_P30_CORT_2,Sst_F_P60_CORT_2,Sst_F_P150_CORT_2,Vip_F_P30_CORT_2,Vip_F_P60_CORT_2,Vip_F_P150_CORT_2
36,Trib2,0.0,-0.3139937121309883,0.0,0.2650890742238593,0.0,0.0,0.0,-0.2957085386479783,0.0,0.0,-0.327005610042582,0.6450088907816705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Fbrs,0.0,-0.2103128618451228,0.0,0.0,-0.2398191144321595,0.0,0.0,-0.2325426969367674,0.0,0.0,-0.2043786327282648,0.1585311829040914,0.0,-1.0024305529229671,0.0,0.0,0.0,-0.3170743604538389,0.0,-0.4322402417156166,0.0,0.0,0.0,0.0,0.0
38,Crat,0.0,-0.2148741361411759,0.0,0.0,0.0,0.0,0.0,-0.2495454509961893,0.0,0.0,-0.2740636558015366,0.2479563480153599,0.0,-0.6714373338815428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Rfc1,0.0,-0.2210088506872869,0.0,0.0,-0.2641031807465374,0.0,0.0,-0.2443677811378959,0.0,0.0,-0.1933489907401077,0.0,0.0,-0.5710667887639806,0.0,0.0,0.0,-0.371124121677464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Gm20063,0.0,0.0,0.0,0.0,-0.2190274713021805,0.0,0.0,-0.2462064399802003,0.0,0.0,0.0,0.0,-0.1945468186168908,0.0,0.9924192665395126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Colgalt1,0.0,0.0,0.0,0.0,-0.1798636941015212,0.0,0.0,0.0,0.0,0.0,-0.3034995884042091,0.0,0.0,0.0,0.0,-0.4409746408972397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Hcn2,0.0,-0.4041703424800767,0.0,0.0,-0.3465133969243606,0.0,0.0,-0.3590300016397538,0.0,0.0,-0.3857579210579238,0.0,0.0,0.0,0.0,-0.4214211045215601,0.0,-0.3545661707461761,0.0,-0.2833012287035498,0.0,-0.2513172856860237,0.0,0.0,0.0
43,Mettl7a1,0.0,-0.268971039235339,0.0,0.0,-0.2339357516608984,0.0,0.0,-0.283170830868783,0.0,0.0,-0.2268904571593139,0.1747244344809376,0.0,0.0,0.452246266072762,0.0,-0.5181552876321531,-0.3170743604538389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Elfn2,0.0,-0.2896905767863511,0.2332931294543648,0.0,-0.3465133969243606,0.0,0.0,-0.2253188449452479,0.0,0.0,-0.2385010474802168,0.2484951378476662,0.0,0.0,0.4533757712137311,0.0,0.4904676524582669,-0.3628318510145137,0.0,-0.219914249839157,0.0,0.0,0.0,0.0,0.0
45,Ube2d1,0.0,0.0,0.0,-0.0888840438412902,0.0,0.0,0.0,0.0,0.0,0.0,-0.282364371209326,0.0,0.0,0.0,0.0,0.0,-0.4587788094879663,0.0,0.0,0.0,0.0,0.0,-0.290232315628329,0.0,0.0
46,Oprk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8855515629186537,0.0,-0.191730283760356,0.4360130567932834,-0.1710982383576875,0.0,0.0,0.0,0.0,0.0,-1.0791812460476249,0.0,0.0,0.0,0.0,0.0,0.0
47,Isl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0669467896306133,0.0,0.0,0.0,0.0,0.0,0.0
48,Pkp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3393725811143762,0.2939210998096235,0.2518920607488784,-0.4570041454202836,0.5143178252842793,0.0,0.0,0.0,0.0,0.0,0.0,-1.0606978403536118,0.0,0.0,0.0,0.0,0.0,0.0
49,Slc17a6,1.2272437815030626,-0.1931053913790044,0.0,0.0,0.0,0.0,0.0,-0.407031913122881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7719192204623493,0.0,0.0,0.0,-0.6555447834576101,0.0,0.0,0.0
50,Vav3,0.0,-0.2038787518397128,0.3545526917777507,0.0,-0.3591025242323813,0.0,0.0,-0.5128653539419461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.431017712760675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Zfhx3,0.0,0.0,0.0,-0.3450362159310815,0.0,0.0,0.0,0.0,0.0,-0.3734077284119979,-0.371676004962043,0.0,0.0,0.0,0.0,0.0,0.0,-1.3777722008074509,-0.511883360978874,0.0,0.0,-0.4181220529837698,0.0,0.0,0.0
52,Robo3,0.0,0.0,0.0,0.203780934964694,-0.3294800576255799,0.0,0.0,-0.164368094948242,-0.0274339571866724,0.3190454090062557,-0.2965925735934374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310166557258018,0.0,0.0,0.0
53,Gm27243,0.0,-0.3163317768999533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.865301426102545,0.0,0.0,-0.8674037779558443,0.0,0.0,0.0
54,Zfhx4,0.0,-0.4438177025221327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209173708782576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.979832192135413,0.0,-1.5385737338068557,0.0,0.0,0.0,0.0,0.0
55,Cald1,0.0,0.0,0.0,-0.205425584192756,0.0,0.0,0.0,0.0,0.0,-0.1926613513241175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8951210573206676,0.0,0.0,0.0,0.0,0.0
56,Klhl13,0.0,0.0,0.0,-0.246476936005123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6943498066992738,-0.294128462519783,0.0,0.0,0.0
57,AC124490.1,0.8718129723930087,0.0,0.3511548329466431,-0.1420828818495102,0.0,0.0,0.0,0.0,0.0,0.0,-0.3125942343712952,0.5124957060179671,0.0,0.0,0.4040141563842301,0.0,0.0,0.0,-0.732393759822969,0.0,0.6730169154700169,-0.4429456367088027,0.0,0.0,-0.6755430025865734
58,Gprc5b,0.0,-0.4266809474633914,0.3125711326555368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2303059600717713,-0.2146154024291827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4285159212861607,0.0,0.0,-0.4292341197000486,0.0,0.7388438571358934
59,Tanc1,0.0,-0.3691200620415938,0.2441037456985632,0.0,-0.3269178408609796,0.0,0.0,-0.3245044787835371,0.0,0.0,-0.292494758914418,0.2654794301863823,0.0,0.0,0.0,0.0,0.0,-0.4042245361727383,0.0,-0.4925608510118858,0.0,0.5476650088642531,0.0,0.0,0.6453135847792177
60,Mgat3,1.0292506809995512,-0.3792562975352539,0.0,0.0,-0.3952053208240849,0.0,0.0,-0.3612744225622067,0.0,0.0,-0.2281407798620844,0.0,0.0,0.0,0.0,0.0,0.0,-0.2743223800328885,0.0,-0.3149002147752521,0.0,0.0,-0.8271741283720861,0.0,0.0
61,Gan,0.0,-0.3125387878828144,0.0,0.0,-0.2149440814170473,0.0,0.0,-0.3562920220432666,0.0,0.0,-0.2167227533814246,0.2859532832059202,0.0,0.0,0.0,0.0,0.0,-0.2840741003509129,0.0,0.0,0.0,0.0,-0.7949894450006862,0.0,0.0
62,Chmp4b,0.0,-0.3052780862975493,0.0,0.0,0.0,0.0,0.0,-0.2475941993042567,0.0,0.0,-0.305944781460758,0.0,0.0,0.0,0.0,0.0,0.0,-0.3985474032810485,0.0,-0.3624824747511742,0.0,0.0,-0.7760216059247043,0.0,0.0
63,Kndc1,0.8098907317868895,-0.2994841339001992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.141703717139307,0.0,0.1199640837448246,0.0,0.0,0.0,0.0,0.0,-0.3087222860890731,0.0,-0.2419085435453243,0.0,0.0,0.0,-0.1705587704557203,0.0
