,SYMBOL,Astro_F_E18_WB_2,Astro_M_E18_WB_2,L2_3_IT_F_E18_WB_2,L2_3_IT_M_E18_WB_2,L4_F_E18_WB_2,L4_M_E18_WB_2,L5_F_E18_WB_2,L5_M_E18_WB_2,L6_F_E18_WB_2,L6_M_E18_WB_2,Lamp5_F_E18_WB_2,Lamp5_M_E18_WB_2,Oligo_M_E18_WB_2,Pvalb_M_E18_WB_2,Sst_F_E18_WB_2,Sst_M_E18_WB_2,Vip_M_E18_WB_2
57,Hk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101879297342788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Pde1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3652472898313563,0.0,0.0,0.527477058038048,0.0,0.0,0.0,0.0,0.0,0.0
59,Atxn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303678415514748,0.0,0.0,0.0,0.0,0.0
60,Grid2,0.0,0.0,0.0,0.0,0.0,0.3510791418200412,0.0,0.0,0.0,0.0,0.0,0.5256979634179895,0.0,0.0,0.0,0.0,0.3803191543676218
61,Slc16a7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2708852736398027,0.0,0.0,0.0,0.4462231759723005,0.0,0.0,0.0,0.0,0.0
62,Dcc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4177212787477259,0.0,0.0,0.0,0.0,0.0
63,Fyco1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3957508329621566,0.0,0.0,0.0,0.0,0.0
64,Metap1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859909956729999,0.0,0.0,0.0,0.0,0.0
65,Aff2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3801503737561926,0.0,0.0,0.0,0.0,0.0
66,Scmh1,0.0,0.0,0.0,0.0,0.0,0.2867687986134837,0.0,0.0,0.0,0.0,0.0,0.3748268998684562,0.0,0.0,0.0,0.0,0.0
67,Ptprn2,0.0,0.0,0.0,0.0,0.0,0.2835268948462747,0.0,0.0,0.0,0.0,0.0,0.3695689083849111,0.0,0.0,0.0,0.0,0.0
68,Gpx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0430002330940102,0.0,0.0,0.0,0.0,0.0,-0.0651752089758087,0.0,0.0,0.0
