,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Mettl81,-0.152407694,7.740831929,-0.682662505,0.497005929,0.896952548,-5.411843714,P60,MUT cells from HET vs WT cells from WT,Mettl81
Nfia1,0.152383403,7.57592981,0.595787738,0.55318125,0.915852871,-5.476351091,P60,MUT cells from HET vs WT cells from WT,Nfia1
Pdzd21,-0.152347309,7.577467059,-0.607876231,0.545178038,0.913624758,-5.569115367,P60,MUT cells from HET vs WT cells from WT,Pdzd21
Mrps61,0.152341918,7.605224066,0.668282325,0.506085488,0.90071817,-5.43060363,P60,MUT cells from HET vs WT cells from WT,Mrps61
Zfp741,0.152305518,7.513612722,0.826358919,0.41132458,0.858120128,-5.393614481,P60,MUT cells from HET vs WT cells from WT,Zfp741
Enpp21,0.152294439,7.479204551,1.002137958,0.319625737,0.813774785,-5.309146598,P60,MUT cells from HET vs WT cells from WT,Enpp21
Bcs1l1,-0.152281519,7.639954297,-0.756848709,0.451604675,0.875964462,-5.452282221,P60,MUT cells from HET vs WT cells from WT,Bcs1l1
Adarb11,0.152278352,8.288369536,0.501247189,0.617722916,0.937155908,-5.203522245,P60,MUT cells from HET vs WT cells from WT,Adarb11
Por1,-0.152265273,7.534935288,-1.069220251,0.288534161,0.795614629,-5.329989357,P60,MUT cells from HET vs WT cells from WT,Por1
1110008F13Rik1,0.152238097,7.877814181,0.504964391,0.615122613,0.936171239,-5.309468475,P60,MUT cells from HET vs WT cells from WT,1110008F13Rik1
Cd3201,-0.152160922,7.438910782,-1.250655656,0.215100342,0.758762914,-5.235402788,P60,MUT cells from HET vs WT cells from WT,Cd3201
Csnk1g31,-0.152159273,7.679140187,-0.603298833,0.5482016,0.914601949,-5.481923434,P60,MUT cells from HET vs WT cells from WT,Csnk1g31
Cep191,0.152131702,7.879853459,0.626331745,0.53307376,0.912033821,-5.336615937,P60,MUT cells from HET vs WT cells from WT,Cep191
Zfp2921,0.152070969,8.598234391,0.503918017,0.615854088,0.936253713,-5.183380678,P60,MUT cells from HET vs WT cells from WT,Zfp2921
Ctu21,0.152058892,7.565617072,0.94361723,0.348514048,0.830724261,-5.290968364,P60,MUT cells from HET vs WT cells from WT,Ctu21
Aak11,0.151987354,9.361210008,0.585121133,0.560291594,0.917081537,-5.161054108,P60,MUT cells from HET vs WT cells from WT,Aak11
Lhfpl31,-0.151963601,7.688249831,-0.858592917,0.393408272,0.852202595,-5.374456835,P60,MUT cells from HET vs WT cells from WT,Lhfpl31
Pgls1,-0.151954457,7.514111063,-0.947630348,0.346480464,0.830330269,-5.444925036,P60,MUT cells from HET vs WT cells from WT,Pgls1
Large11,-0.151920375,8.242509196,-0.526023798,0.600484669,0.928917861,-5.225874436,P60,MUT cells from HET vs WT cells from WT,Large11
Abhd17b1,-0.151820226,7.587261481,-1.010055447,0.315843729,0.811420459,-5.34001223,P60,MUT cells from HET vs WT cells from WT,Abhd17b1
Fbxo281,0.151800132,7.623058906,0.764224615,0.447225261,0.874746221,-5.381273522,P60,MUT cells from HET vs WT cells from WT,Fbxo281
Kcnn31,-0.151792175,7.412339589,-1.137311365,0.259170646,0.784873069,-5.372181306,P60,MUT cells from HET vs WT cells from WT,Kcnn31
Dync2h11,-0.151676277,8.081976932,-0.471298343,0.638849526,0.939713347,-5.281428999,P60,MUT cells from HET vs WT cells from WT,Dync2h11
Ndufa51,-0.151456766,7.861138823,-0.707333936,0.481637198,0.888445414,-5.341508029,P60,MUT cells from HET vs WT cells from WT,Ndufa51
Smap21,0.151251004,7.655805461,0.488999883,0.626324822,0.938084385,-5.459254308,P60,MUT cells from HET vs WT cells from WT,Smap21
Ogt1,0.151135766,9.618028494,0.591591035,0.555973373,0.915852871,-5.167034548,P60,MUT cells from HET vs WT cells from WT,Ogt1
Mapk81,0.151122607,8.355723941,0.458498837,0.647972047,0.939713347,-5.209937044,P60,MUT cells from HET vs WT cells from WT,Mapk81
Atl31,-0.151087986,7.888075448,-0.686213814,0.494777373,0.895397552,-5.348763755,P60,MUT cells from HET vs WT cells from WT,Atl31
Eif4e21,-0.151021352,7.467255104,-1.344429393,0.183020817,0.72850061,-5.110640167,P60,MUT cells from HET vs WT cells from WT,Eif4e21
Zswim81,-0.151009774,8.162889638,-0.501525429,0.617528108,0.937155908,-5.25759503,P60,MUT cells from HET vs WT cells from WT,Zswim81
Micu31,0.151007486,8.2520409,0.524191385,0.601751938,0.929137439,-5.199327381,P60,MUT cells from HET vs WT cells from WT,Micu31
Ppargc1a1,0.150986433,7.77278037,0.709096607,0.480549357,0.887600119,-5.323047442,P60,MUT cells from HET vs WT cells from WT,Ppargc1a1
Snrnp401,-0.150813905,7.791760972,-0.753465321,0.453621805,0.876899829,-5.399272076,P60,MUT cells from HET vs WT cells from WT,Snrnp401
Gm32941,0.150765801,7.474319224,1.048234321,0.298029002,0.797603362,-5.270418945,P60,MUT cells from HET vs WT cells from WT,Gm32941
Nfrkb1,-0.150745489,8.058299955,-0.551942635,0.582693082,0.923062053,-5.352108186,P60,MUT cells from HET vs WT cells from WT,Nfrkb1
Nipa21,-0.150745283,7.754557725,-0.659523804,0.511658922,0.903922649,-5.462112721,P60,MUT cells from HET vs WT cells from WT,Nipa21
Gjc3,0.150737533,7.383034547,1.239709993,0.219099293,0.76050547,-5.166422362,P60,MUT cells from HET vs WT cells from WT,Gjc3
Apod1,0.150737533,7.383034547,1.239709993,0.219099293,0.76050547,-5.166422362,P60,MUT cells from HET vs WT cells from WT,Apod1
Adar1,0.150695422,8.272083248,0.473961109,0.636958637,0.939713347,-5.215823591,P60,MUT cells from HET vs WT cells from WT,Adar1
Trim391,0.150665998,7.605352857,0.690638209,0.492008574,0.892997967,-5.421680305,P60,MUT cells from HET vs WT cells from WT,Trim391
Dpm31,0.150524722,7.589817011,0.656390471,0.513660716,0.905257582,-5.420455664,P60,MUT cells from HET vs WT cells from WT,Dpm31
Nckipsd1,-0.150510417,7.578537393,-0.699574033,0.486442483,0.890335017,-5.520668805,P60,MUT cells from HET vs WT cells from WT,Nckipsd1
Ptk21,0.150463907,8.10147317,0.510755381,0.611081454,0.933870055,-5.236657501,P60,MUT cells from HET vs WT cells from WT,Ptk21
Rgma1,-0.150417362,7.411861651,-1.142249855,0.257126234,0.784873069,-5.3671118,P60,MUT cells from HET vs WT cells from WT,Rgma1
Rnf2071,-0.150327215,7.527190043,-0.837385969,0.405140585,0.856094862,-5.522664613,P60,MUT cells from HET vs WT cells from WT,Rnf2071
Prkacb1,0.15032243,8.432574884,0.461133473,0.646089802,0.939713347,-5.204517518,P60,MUT cells from HET vs WT cells from WT,Prkacb1
Srrm31,-0.15024949,8.34407221,-0.473377132,0.637373126,0.939713347,-5.220405518,P60,MUT cells from HET vs WT cells from WT,Srrm31
Ino80d1,-0.150128144,7.897268391,-0.589891819,0.557105877,0.915852871,-5.36039615,P60,MUT cells from HET vs WT cells from WT,Ino80d1
Ufd11,-0.149958774,7.490021078,-0.812342698,0.419266942,0.860276118,-5.556409029,P60,MUT cells from HET vs WT cells from WT,Ufd11
Grip21,0.149918519,7.88797002,0.597200831,0.552242682,0.915852871,-5.304869282,P60,MUT cells from HET vs WT cells from WT,Grip21
Nfyc1,0.149905633,7.804512303,0.5961456,0.552943485,0.915852871,-5.466490343,P60,MUT cells from HET vs WT cells from WT,Nfyc1
Manf1,0.149843191,7.71658233,0.62153567,0.536205936,0.912766785,-5.3900016,P60,MUT cells from HET vs WT cells from WT,Manf1
Enah1,0.149816979,8.766601383,0.49861862,0.619564644,0.938084385,-5.18452654,P60,MUT cells from HET vs WT cells from WT,Enah1
Gcn1l11,0.149588529,7.963799529,0.551375845,0.583079448,0.923062053,-5.277895084,P60,MUT cells from HET vs WT cells from WT,Gcn1l11
Prdx51,-0.14955411,7.85463187,-0.722370451,0.472401404,0.88353695,-5.345470929,P60,MUT cells from HET vs WT cells from WT,Prdx51
Kif5a1,-0.149552495,8.702482353,-0.484030145,0.629830269,0.939118533,-5.191512871,P60,MUT cells from HET vs WT cells from WT,Kif5a1
Wls1,-0.149490096,7.579964932,-0.988448305,0.326236057,0.81884258,-5.371487737,P60,MUT cells from HET vs WT cells from WT,Wls1
Trim31,0.149486718,7.856896878,0.642238134,0.522753811,0.909756858,-5.307983899,P60,MUT cells from HET vs WT cells from WT,Trim31
Kat71,0.149362506,7.773345629,0.571685016,0.569311955,0.919470112,-5.365526474,P60,MUT cells from HET vs WT cells from WT,Kat71
Prr71,0.149269688,7.506744429,0.683700143,0.496354215,0.896952548,-5.610813561,P60,MUT cells from HET vs WT cells from WT,Prr71
Pcnp1,0.149232128,7.5943612,0.766696884,0.445762896,0.874746221,-5.396625723,P60,MUT cells from HET vs WT cells from WT,Pcnp1
Romo11,0.149074668,7.619525461,0.642165187,0.522800898,0.909756858,-5.414101735,P60,MUT cells from HET vs WT cells from WT,Romo11
Sipa1l31,-0.149067593,7.738918602,-0.452762336,0.652078278,0.939713347,-5.50961399,P60,MUT cells from HET vs WT cells from WT,Sipa1l31
Aprt1,-0.14901858,7.625449704,-0.970612245,0.334983692,0.822486996,-5.365964338,P60,MUT cells from HET vs WT cells from WT,Aprt1
Zfyve271,-0.148959847,8.1424565,-0.519818479,0.604781139,0.929768065,-5.261850712,P60,MUT cells from HET vs WT cells from WT,Zfyve271
Ndrg41,-0.148944487,9.102114679,-0.474255987,0.636749385,0.939713347,-5.195855742,P60,MUT cells from HET vs WT cells from WT,Ndrg41
Tmed101,-0.148888477,7.732582656,-0.635785497,0.526927573,0.911833111,-5.440153059,P60,MUT cells from HET vs WT cells from WT,Tmed101
Greb1l1,0.148848278,7.507558688,0.66237774,0.509839251,0.903247871,-5.623727695,P60,MUT cells from HET vs WT cells from WT,Greb1l1
Mmd1,0.148821536,7.453864351,0.880431781,0.381548404,0.850015772,-5.408090412,P60,MUT cells from HET vs WT cells from WT,Mmd1
Rlf1,-0.148818937,8.15297085,-0.465360568,0.643074699,0.939713347,-5.260681475,P60,MUT cells from HET vs WT cells from WT,Rlf1
Naca1,0.148796583,7.691343004,0.770797172,0.443343688,0.87294113,-5.324279498,P60,MUT cells from HET vs WT cells from WT,Naca1
Htr1f1,0.148783735,7.752685156,0.649328853,0.518187386,0.908401342,-5.362915831,P60,MUT cells from HET vs WT cells from WT,Htr1f1
Gm203421,-0.148723272,7.410232455,-1.138992485,0.258473417,0.784873069,-5.371192561,P60,MUT cells from HET vs WT cells from WT,Gm203421
Cdh71,-0.148721156,7.923721688,-0.597865654,0.551801387,0.915852871,-5.368219395,P60,MUT cells from HET vs WT cells from WT,Cdh71
Shisa41,-0.148697209,7.95412345,-0.486007818,0.628434275,0.938862992,-5.343778442,P60,MUT cells from HET vs WT cells from WT,Shisa41
Chp11,0.148664518,7.551360496,0.850561586,0.397826519,0.852202595,-5.487650251,P60,MUT cells from HET vs WT cells from WT,Chp11
Cabin11,-0.148660608,8.29659933,-0.491346838,0.624672361,0.938084385,-5.230743174,P60,MUT cells from HET vs WT cells from WT,Cabin11
Trappc14,-0.148491288,7.568158218,-0.877030947,0.383380406,0.851580735,-5.472106838,P60,MUT cells from HET vs WT cells from WT,Trappc14
Soga31,0.148481722,8.693683375,0.456554856,0.649362348,0.939713347,-5.199609432,P60,MUT cells from HET vs WT cells from WT,Soga31
Aig11,0.148433633,8.613665946,0.472318716,0.638124653,0.939713347,-5.194757448,P60,MUT cells from HET vs WT cells from WT,Aig11
Mgea51,0.14838773,8.054322204,0.534412283,0.594699107,0.926200542,-5.245506352,P60,MUT cells from HET vs WT cells from WT,Mgea51
Grn1,-0.148351412,7.467127101,-1.331760096,0.187130532,0.733936775,-5.126339928,P60,MUT cells from HET vs WT cells from WT,Grn1
Smim201,-0.148339916,7.55529489,-0.943846453,0.348397685,0.830724261,-5.423015539,P60,MUT cells from HET vs WT cells from WT,Smim201
Fez11,0.148332221,8.078893371,0.427380252,0.670375044,0.941443818,-5.318395625,P60,MUT cells from HET vs WT cells from WT,Fez11
Sec16a1,-0.148234768,7.67574114,-0.618237184,0.538365555,0.912818936,-5.516889714,P60,MUT cells from HET vs WT cells from WT,Sec16a1
Me31,-0.148172966,8.664935466,-0.439484111,0.661624168,0.940375972,-5.208528821,P60,MUT cells from HET vs WT cells from WT,Me31
Htra21,0.148117905,7.590592915,0.660428709,0.51108158,0.903542716,-5.458067856,P60,MUT cells from HET vs WT cells from WT,Htra21
Pomgnt11,-0.14804619,7.726364946,-0.798898806,0.42697085,0.861989614,-5.383949853,P60,MUT cells from HET vs WT cells from WT,Pomgnt11
Rplp01,0.148004954,7.65905988,0.550425053,0.583727851,0.923062053,-5.43404246,P60,MUT cells from HET vs WT cells from WT,Rplp01
Med12l1,-0.147910056,7.945294562,-0.46428096,0.643844194,0.939713347,-5.351629688,P60,MUT cells from HET vs WT cells from WT,Med12l1
Mark21,0.147740122,7.826955809,0.601543755,0.549363142,0.914957256,-5.344014969,P60,MUT cells from HET vs WT cells from WT,Mark21
Ap2a11,0.147720202,8.090573556,0.507995006,0.613006244,0.934509866,-5.24961021,P60,MUT cells from HET vs WT cells from WT,Ap2a11
Smarcad11,-0.147665556,7.841287153,-0.596433784,0.552752051,0.915852871,-5.377747563,P60,MUT cells from HET vs WT cells from WT,Smarcad11
Zcchc171,-0.147542709,7.564966104,-0.919893563,0.360693394,0.8371112,-5.430764256,P60,MUT cells from HET vs WT cells from WT,Zcchc171
Zfr21,-0.147474599,8.048997073,-0.548277526,0.585193643,0.923062053,-5.333556431,P60,MUT cells from HET vs WT cells from WT,Zfr21
Josd21,-0.147473989,7.72032159,-0.821994609,0.413787812,0.859074962,-5.381177734,P60,MUT cells from HET vs WT cells from WT,Josd21
Gtf2a11,0.147432376,7.553338232,0.790409719,0.431878543,0.866674395,-5.45632957,P60,MUT cells from HET vs WT cells from WT,Gtf2a11
Cpt1c1,0.147430843,8.068651918,0.499534425,0.6189227,0.938084385,-5.259667275,P60,MUT cells from HET vs WT cells from WT,Cpt1c1
Higd2a1,0.147398502,7.865163926,0.634734679,0.527608916,0.911833111,-5.306069709,P60,MUT cells from HET vs WT cells from WT,Higd2a1
Slitrk11,0.14725046,8.140549039,0.478859525,0.633486467,0.939713347,-5.23643982,P60,MUT cells from HET vs WT cells from WT,Slitrk11
Cacnb11,-0.147213986,7.44394298,-1.245687743,0.216908644,0.760306521,-5.2391183,P60,MUT cells from HET vs WT cells from WT,Cacnb11
Decr21,-0.147118945,7.519688229,-0.836084229,0.405867636,0.856094862,-5.52904266,P60,MUT cells from HET vs WT cells from WT,Decr21
Cct31,0.147086612,7.836574536,0.645236453,0.520820321,0.909293023,-5.317256046,P60,MUT cells from HET vs WT cells from WT,Cct31
Noc3l1,0.147031745,7.692142519,0.716558583,0.475959342,0.885722761,-5.355298955,P60,MUT cells from HET vs WT cells from WT,Noc3l1
Lrrc491,0.146995476,7.850510164,0.613988092,0.541154116,0.913028537,-5.355383951,P60,MUT cells from HET vs WT cells from WT,Lrrc491
Spin11,-0.14694763,7.444524579,-1.24447008,0.217353568,0.760306521,-5.240293667,P60,MUT cells from HET vs WT cells from WT,Spin11
Tbp1,-0.146929003,7.631189635,-0.677882952,0.500013846,0.896952548,-5.506569167,P60,MUT cells from HET vs WT cells from WT,Tbp1
Ipo131,-0.146779143,7.488827091,-0.77213268,0.442557382,0.872780829,-5.587282298,P60,MUT cells from HET vs WT cells from WT,Ipo131
Usp111,0.146684518,8.275188251,0.442998164,0.659092316,0.940375972,-5.228409656,P60,MUT cells from HET vs WT cells from WT,Usp111
Arglu11,-0.146641956,8.726452796,-0.44483425,0.657771011,0.940375972,-5.204598661,P60,MUT cells from HET vs WT cells from WT,Arglu11
Tulp31,0.146591187,7.718634161,0.74327942,0.459725728,0.877229158,-5.327398441,P60,MUT cells from HET vs WT cells from WT,Tulp31
Ddx181,0.146567633,7.597410528,0.79605001,0.42861408,0.862453744,-5.378390647,P60,MUT cells from HET vs WT cells from WT,Ddx181
3110021N24Rik1,-0.146549796,7.971936577,-0.578926379,0.564441662,0.918020772,-5.341046381,P60,MUT cells from HET vs WT cells from WT,3110021N24Rik1
Ykt61,0.146528274,7.597861693,0.706846448,0.481938294,0.888445414,-5.427757122,P60,MUT cells from HET vs WT cells from WT,Ykt61
Rab1b1,0.146527566,7.773697899,0.56584626,0.57325376,0.920925849,-5.366086261,P60,MUT cells from HET vs WT cells from WT,Rab1b1
Mrpl31,-0.146512904,7.809461471,-0.702764893,0.48446336,0.890335017,-5.421103309,P60,MUT cells from HET vs WT cells from WT,Mrpl31
Aup11,-0.146434556,8.062743194,-0.439252468,0.661791204,0.940375972,-5.28584808,P60,MUT cells from HET vs WT cells from WT,Aup11
Fnbp1l1,0.146423509,8.64325038,0.430846871,0.667864003,0.940375972,-5.208508601,P60,MUT cells from HET vs WT cells from WT,Fnbp1l1
Cop11,-0.146408896,8.120388069,-0.458589233,0.647907428,0.939713347,-5.27765581,P60,MUT cells from HET vs WT cells from WT,Cop11
Foxp21,-0.146307454,7.427490834,-1.150330277,0.253805831,0.784873069,-5.352222008,P60,MUT cells from HET vs WT cells from WT,Foxp21
Smc61,0.14613014,7.685933018,0.711933268,0.478801573,0.885722761,-5.376591607,P60,MUT cells from HET vs WT cells from WT,Smc61
Tenm11,-0.146108201,8.727405741,-0.442784244,0.65924633,0.940375972,-5.205315245,P60,MUT cells from HET vs WT cells from WT,Tenm11
Lonrf21,0.146012668,7.819445372,0.611109797,0.543047237,0.913501642,-5.339298193,P60,MUT cells from HET vs WT cells from WT,Lonrf21
Hmox21,-0.145969358,7.620815612,-0.954478132,0.343028305,0.827640679,-5.382244896,P60,MUT cells from HET vs WT cells from WT,Hmox21
Adamts101,-0.145966849,7.595362261,-0.907648648,0.367085155,0.839928614,-5.434377783,P60,MUT cells from HET vs WT cells from WT,Adamts101
Asph1,0.145949697,8.166594081,0.475584081,0.63580731,0.939713347,-5.233208163,P60,MUT cells from HET vs WT cells from WT,Asph1
Scube11,-0.145870074,7.413756773,-1.155687747,0.251621209,0.784873069,-5.352009137,P60,MUT cells from HET vs WT cells from WT,Scube11
Rassf11,0.145847451,7.478337756,1.002220981,0.319585922,0.813774785,-5.312068514,P60,MUT cells from HET vs WT cells from WT,Rassf11
Tmx31,-0.145710381,7.75224016,-0.608147369,0.544999205,0.913624758,-5.426707059,P60,MUT cells from HET vs WT cells from WT,Tmx31
Dazap11,-0.145685434,7.976141967,-0.638765129,0.5249981,0.910946451,-5.313157469,P60,MUT cells from HET vs WT cells from WT,Dazap11
Syt141,-0.145644421,7.833087083,-0.630257858,0.530516781,0.911833111,-5.439980872,P60,MUT cells from HET vs WT cells from WT,Syt141
Grid21,0.145571585,7.93467175,0.525462282,0.600872874,0.928917861,-5.297671381,P60,MUT cells from HET vs WT cells from WT,Grid21
Ndufb41,0.145492515,7.881373217,0.578785361,0.56453631,0.918020772,-5.316192522,P60,MUT cells from HET vs WT cells from WT,Ndufb41
Nphp31,-0.145479846,7.726860992,-0.810401424,0.42037419,0.860276118,-5.383932452,P60,MUT cells from HET vs WT cells from WT,Nphp31
Brcc31,0.1454421,7.722897293,0.737359977,0.463294428,0.878898523,-5.356991991,P60,MUT cells from HET vs WT cells from WT,Brcc31
Ptges31,0.145422428,7.87330376,0.629646898,0.530914265,0.911833111,-5.308191709,P60,MUT cells from HET vs WT cells from WT,Ptges31
Ctdsp21,-0.145409266,7.595263974,-0.761891197,0.448608046,0.874842336,-5.539651053,P60,MUT cells from HET vs WT cells from WT,Ctdsp21
Peg31,0.145258288,9.509382177,0.52015884,0.604545113,0.929768065,-5.193225576,P60,MUT cells from HET vs WT cells from WT,Peg31
Tob11,0.145228438,7.857185441,0.648505526,0.518716526,0.908401342,-5.314319922,P60,MUT cells from HET vs WT cells from WT,Tob11
Mir124-2hg1,-0.145204993,8.605094658,-0.44287779,0.659178979,0.940375972,-5.208139192,P60,MUT cells from HET vs WT cells from WT,Mir124-2hg1
Peli31,0.145171282,7.481947108,0.99514697,0.322990219,0.817046443,-5.317820649,P60,MUT cells from HET vs WT cells from WT,Peli31
Slc35a21,0.145154326,7.754729743,0.505126828,0.615009095,0.936171239,-5.386650872,P60,MUT cells from HET vs WT cells from WT,Slc35a21
Npr21,0.145143992,7.52186854,0.729078898,0.468313253,0.880816213,-5.50464762,P60,MUT cells from HET vs WT cells from WT,Npr21
Usp481,-0.145100711,8.069226381,-0.546685383,0.586281484,0.923062053,-5.312312007,P60,MUT cells from HET vs WT cells from WT,Usp481
Gtf2h51,-0.145079588,8.047287663,-0.533633551,0.595235105,0.926469769,-5.307914852,P60,MUT cells from HET vs WT cells from WT,Gtf2h51
Fam76b1,0.144923011,8.074435914,0.493008295,0.623503714,0.938084385,-5.250896808,P60,MUT cells from HET vs WT cells from WT,Fam76b1
Scn8a1,-0.144913726,8.914624147,-0.448822679,0.654904575,0.940375972,-5.202453911,P60,MUT cells from HET vs WT cells from WT,Scn8a1
Imp31,-0.14490761,7.775517359,-0.530970376,0.597069855,0.927124779,-5.427338202,P60,MUT cells from HET vs WT cells from WT,Imp31
Polr3e1,0.144884393,7.630073476,0.601321835,0.549510101,0.914957256,-5.433871484,P60,MUT cells from HET vs WT cells from WT,Polr3e1
Limd21,-0.144814473,7.413813004,-1.140342535,0.257914459,0.784873069,-5.368411499,P60,MUT cells from HET vs WT cells from WT,Limd21
Fryl1,0.144597358,8.042835168,0.476310599,0.635292213,0.939713347,-5.271175536,P60,MUT cells from HET vs WT cells from WT,Fryl1
Ppm1e1,-0.144562034,8.390557267,-0.448696545,0.654995146,0.940375972,-5.245585155,P60,MUT cells from HET vs WT cells from WT,Ppm1e1
Arntl21,-0.144499425,7.775042882,-0.62777091,0.53213573,0.911833111,-5.427785729,P60,MUT cells from HET vs WT cells from WT,Arntl21
Pde5a1,0.144408146,7.670226983,0.763627292,0.447578999,0.874746221,-5.354337133,P60,MUT cells from HET vs WT cells from WT,Pde5a1
U2af21,-0.144401589,7.668486295,-0.803669391,0.424227513,0.861794837,-5.477001878,P60,MUT cells from HET vs WT cells from WT,U2af21
Hnrnpm1,-0.144356658,8.130928175,-0.503154155,0.616388317,0.936253713,-5.276227667,P60,MUT cells from HET vs WT cells from WT,Hnrnpm1
Ckap51,-0.144351995,7.927364565,-0.62508999,0.533883806,0.912578833,-5.339003707,P60,MUT cells from HET vs WT cells from WT,Ckap51
Brd91,0.144136984,8.287628607,0.468231432,0.641030381,0.939713347,-5.216606149,P60,MUT cells from HET vs WT cells from WT,Brd91
Cxxc41,0.144101236,7.88948892,0.498883365,0.619379037,0.938084385,-5.31719914,P60,MUT cells from HET vs WT cells from WT,Cxxc41
Ppp1r111,-0.144077631,7.731651029,-0.569108136,0.571050004,0.920476243,-5.462316105,P60,MUT cells from HET vs WT cells from WT,Ppp1r111
Zfp4511,0.14397772,8.443441539,0.463051786,0.644720768,0.939713347,-5.203457502,P60,MUT cells from HET vs WT cells from WT,Zfp4511
Trak21,-0.143962248,8.042280691,-0.53879327,0.591687898,0.924972723,-5.310370772,P60,MUT cells from HET vs WT cells from WT,Trak21
Prkar2a1,-0.14393571,7.657816881,-0.798461581,0.427222805,0.861989614,-5.422727309,P60,MUT cells from HET vs WT cells from WT,Prkar2a1
Ndst41,-0.143908042,7.423104112,-1.139852864,0.258117097,0.784873069,-5.365365827,P60,MUT cells from HET vs WT cells from WT,Ndst41
Stk161,-0.143893326,7.702846107,-0.565493404,0.573492399,0.920925849,-5.486161267,P60,MUT cells from HET vs WT cells from WT,Stk161
2610524H06Rik1,-0.143869915,7.697938147,-0.608547687,0.544735225,0.913624758,-5.47414089,P60,MUT cells from HET vs WT cells from WT,2610524H06Rik1
Dgcr21,0.143858189,7.64026332,0.693937456,0.489949432,0.89177331,-5.413895496,P60,MUT cells from HET vs WT cells from WT,Dgcr21
Csrnp31,0.143772412,8.627586416,0.433872213,0.665675697,0.940375972,-5.207712606,P60,MUT cells from HET vs WT cells from WT,Csrnp31
Psmb71,0.143769188,7.586113866,0.810454745,0.420343753,0.860276118,-5.42650209,P60,MUT cells from HET vs WT cells from WT,Psmb71
Reep21,-0.143761069,7.751389896,-0.723195522,0.471897523,0.883261821,-5.488340822,P60,MUT cells from HET vs WT cells from WT,Reep21
Fstl11,0.143746767,7.478480913,0.919605277,0.360843054,0.8371112,-5.38233148,P60,MUT cells from HET vs WT cells from WT,Fstl11
Larp11,0.143741998,7.884383432,0.571956676,0.569128876,0.919470112,-5.324696562,P60,MUT cells from HET vs WT cells from WT,Larp11
Nfat51,-0.143717524,8.629191726,-0.46806234,0.641150713,0.939713347,-5.198490289,P60,MUT cells from HET vs WT cells from WT,Nfat51
Npm11,0.143704856,7.952400644,0.563248388,0.575011848,0.921548841,-5.301327753,P60,MUT cells from HET vs WT cells from WT,Npm11
Tenm31,0.143703616,8.151157789,0.421597575,0.674572084,0.94244674,-5.313996107,P60,MUT cells from HET vs WT cells from WT,Tenm31
Ccl27a1,-0.143652043,7.755714291,-0.731309536,0.466958337,0.880464384,-5.409198768,P60,MUT cells from HET vs WT cells from WT,Ccl27a1
Ctsf1,0.143650003,7.693785691,0.705266871,0.482914636,0.889319515,-5.359342096,P60,MUT cells from HET vs WT cells from WT,Ctsf1
Yeats21,-0.143646889,8.115451044,-0.53524301,0.59412757,0.926200542,-5.285489857,P60,MUT cells from HET vs WT cells from WT,Yeats21
Fus1,-0.143601717,9.594201602,-0.614488081,0.540825606,0.912889039,-5.151005175,P60,MUT cells from HET vs WT cells from WT,Fus1
Baz2b1,0.143552394,7.86014255,0.591622432,0.555952458,0.915852871,-5.336797665,P60,MUT cells from HET vs WT cells from WT,Baz2b1
Glod41,0.143522744,7.551337314,0.71407113,0.477486693,0.885722761,-5.442439726,P60,MUT cells from HET vs WT cells from WT,Glod41
Zfp4281,-0.143485818,7.448938399,-1.224179729,0.224866333,0.7644816,-5.261790243,P60,MUT cells from HET vs WT cells from WT,Zfp4281
Casp31,-0.143467324,7.470637962,-1.311287,0.193918146,0.738579523,-5.149729458,P60,MUT cells from HET vs WT cells from WT,Casp31
Trub11,0.143414214,7.851380422,0.629206895,0.531200623,0.911833111,-5.33248732,P60,MUT cells from HET vs WT cells from WT,Trub11
Junb1,0.143407487,7.524988118,0.651637531,0.516705153,0.907870635,-5.623912614,P60,MUT cells from HET vs WT cells from WT,Junb1
Wdr701,-0.142903353,7.62523278,-0.811543399,0.419722627,0.860276118,-5.441362363,P60,MUT cells from HET vs WT cells from WT,Wdr701
Edc31,0.142885035,7.618729566,0.717517299,0.475371399,0.885722761,-5.415633201,P60,MUT cells from HET vs WT cells from WT,Edc31
Afdn1,-0.142883218,8.249291401,-0.457751242,0.648506566,0.939713347,-5.250848352,P60,MUT cells from HET vs WT cells from WT,Afdn1
0610010F05Rik1,-0.142842421,7.55404859,-0.853651599,0.396123019,0.852202595,-5.49690446,P60,MUT cells from HET vs WT cells from WT,0610010F05Rik1
Sncaip1,-0.1428131,7.579711036,-0.754327313,0.453107405,0.876439448,-5.500259931,P60,MUT cells from HET vs WT cells from WT,Sncaip1
Ran1,0.142786058,7.785238458,0.556047141,0.579898794,0.923040794,-5.399711122,P60,MUT cells from HET vs WT cells from WT,Ran1
Eif51,0.142693341,8.035235192,0.529248242,0.598257687,0.927805355,-5.258500499,P60,MUT cells from HET vs WT cells from WT,Eif51
Tm2d11,-0.142651179,7.650756443,-0.533738205,0.595163059,0.926469769,-5.514646564,P60,MUT cells from HET vs WT cells from WT,Tm2d11
Pdhx1,-0.142605617,7.799614637,-0.540286679,0.590663062,0.924972723,-5.423097267,P60,MUT cells from HET vs WT cells from WT,Pdhx1
Sptbn41,-0.142475304,8.489135467,-0.439050932,0.661936544,0.940375972,-5.224943735,P60,MUT cells from HET vs WT cells from WT,Sptbn41
