,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Hook1,-0.836324833,8.273748335,-3.462802742,0.000874356,0.014440479,-0.719627894,P30,MUT cells from HET vs WT cells from WT,Hook1
Hecw1,-0.835339833,7.985708174,-2.939248096,0.00433619,0.038257562,-2.039365217,P30,MUT cells from HET vs WT cells from WT,Hecw1
Cpsf3,-0.835191105,7.795265009,-3.316665513,0.0013898,0.019488674,-1.10000291,P30,MUT cells from HET vs WT cells from WT,Cpsf3
Suco,-0.834760744,7.906690861,-2.941012425,0.004314074,0.038214777,-2.046000473,P30,MUT cells from HET vs WT cells from WT,Suco
Ap1m1,-0.834334082,7.707059103,-2.938475744,0.004345905,0.038257562,-2.105219012,P30,MUT cells from HET vs WT cells from WT,Ap1m1
Sirt7,-0.832072481,8.090828785,-3.101673288,0.002685934,0.029529376,-1.638003034,P30,MUT cells from HET vs WT cells from WT,Sirt7
Cep164,-0.831104866,8.138638033,-3.213062241,0.001915799,0.023731299,-1.358836482,P30,MUT cells from HET vs WT cells from WT,Cep164
Ttc39c,-0.83100891,7.556746527,-4.931868379,4.55699907835835e-06,0.001302601,4.010744095,P30,MUT cells from HET vs WT cells from WT,Ttc39c
Klhl29,-0.829701302,7.81116885,-3.161758852,0.0022405,0.026181435,-1.504932423,P30,MUT cells from HET vs WT cells from WT,Klhl29
Fbxo28,-0.828700103,7.742434197,-3.808314072,0.000278786,0.00719423,0.29535123,P30,MUT cells from HET vs WT cells from WT,Fbxo28
Ydjc,-0.826232583,7.532702773,-5.804330239,1.35274512085113e-07,0.00050268,7.250783235,P30,MUT cells from HET vs WT cells from WT,Ydjc
Kcnip4,0.82388787,8.938287777,2.95944157,0.00408921,0.037382053,-1.981720251,P30,MUT cells from HET vs WT cells from WT,Kcnip4
Map4k3,-0.821536365,7.503127099,-5.601419118,3.12615974350257e-07,0.00058084,6.48519909,P30,MUT cells from HET vs WT cells from WT,Map4k3
Nfix,-0.821062349,7.670638004,-3.636438145,0.000496287,0.010217181,-0.218840163,P30,MUT cells from HET vs WT cells from WT,Nfix
Mkl2,-0.82053604,7.72425632,-4.04669404,0.00012217,0.004886899,1.026332142,P30,MUT cells from HET vs WT cells from WT,Mkl2
Cgrrf1,-0.818981917,7.695809582,-4.264875867,5.60441889907865e-05,0.003653688,1.723284381,P30,MUT cells from HET vs WT cells from WT,Cgrrf1
Pdpk1,-0.817586151,7.79751752,-3.699026469,0.000403011,0.008994528,-0.026169652,P30,MUT cells from HET vs WT cells from WT,Pdpk1
Brwd3,-0.816465709,7.812068203,-3.456294758,0.000892822,0.014646589,-0.718384325,P30,MUT cells from HET vs WT cells from WT,Brwd3
Mapk14,-0.815664426,7.874541269,-3.557443162,0.000643472,0.011955712,-0.431444777,P30,MUT cells from HET vs WT cells from WT,Mapk14
Nucks1,-0.814152558,7.817446548,-3.936703756,0.000179401,0.005526918,0.682976899,P30,MUT cells from HET vs WT cells from WT,Nucks1
Kif3b,-0.812585012,7.95024292,-2.756916223,0.007276391,0.053069809,-2.469887687,P30,MUT cells from HET vs WT cells from WT,Kif3b
Arhgap31,-0.811599115,7.412574458,-4.726506899,1.00563654538581e-05,0.001659015,3.285890754,P30,MUT cells from HET vs WT cells from WT,Arhgap31
Mrgbp,-0.810411924,7.814491931,-3.576952729,0.000603685,0.011516318,-0.381175846,P30,MUT cells from HET vs WT cells from WT,Mrgbp
St6gal2,-0.81006415,7.710994731,-4.034661035,0.000127451,0.00490786,0.988411087,P30,MUT cells from HET vs WT cells from WT,St6gal2
Focad,-0.808658354,7.890072127,-3.692670582,0.000411662,0.009132744,-0.045528023,P30,MUT cells from HET vs WT cells from WT,Focad
Tsen34,-0.808608875,7.617029044,-5.070421652,2.64858503474923e-06,0.001179885,4.497377032,P30,MUT cells from HET vs WT cells from WT,Tsen34
Slitrk4,-0.808406049,8.024191627,-3.136159067,0.002421108,0.027429382,-1.553693813,P30,MUT cells from HET vs WT cells from WT,Slitrk4
Slitrk5,-0.807575934,8.0605779,-2.69176263,0.008708787,0.058898914,-2.600925882,P30,MUT cells from HET vs WT cells from WT,Slitrk5
Gm3294,-0.807361869,7.616906522,-3.991405851,0.000148307,0.00504014,0.849094359,P30,MUT cells from HET vs WT cells from WT,Gm3294
