"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test","SYMBOL"
"Thyn11",0.0933074660715061,7.65825862399953,0.82138752365832,0.41249248097784,0.622724763956337,-5.72286244885379,"P60","MUT cells from HET vs WT cells from WT","Thyn11"
"Morn11",0.0931725041773834,7.64242011728913,0.800653594504235,0.424368617347314,0.631837719161557,-5.74568372214082,"P60","MUT cells from HET vs WT cells from WT","Morn11"
"Bcl7a1",0.0930569122166496,7.89450301826044,0.643088466576941,0.520970264842198,0.713126754355319,-5.71387473653586,"P60","MUT cells from HET vs WT cells from WT","Bcl7a1"
"Tuba1b1",0.0930359820928706,7.92437464851385,0.684212471917076,0.494705030631572,0.692199617725026,-5.67259267592736,"P60","MUT cells from HET vs WT cells from WT","Tuba1b1"
"Tsta31",0.0930349597475173,7.49142507140887,0.897521970068073,0.370617649795225,0.585991328289795,-5.79903101289156,"P60","MUT cells from HET vs WT cells from WT","Tsta31"
"Arid4a1",-0.0930085163849839,8.04789451213163,-0.574220819641294,0.566522283563596,0.747252310811024,-5.70623347607633,"P60","MUT cells from HET vs WT cells from WT","Arid4a1"
"Tmem571",0.0929629884384777,8.33665116215686,0.573643762974512,0.56691196767686,0.747252310811024,-5.6277760315501,"P60","MUT cells from HET vs WT cells from WT","Tmem571"
"Ppil21",0.0927922420789891,7.89923702503272,0.657470476861289,0.511703096073085,0.706375600907067,-5.70130468392293,"P60","MUT cells from HET vs WT cells from WT","Ppil21"
"Snca1",0.092762904532087,8.13351291647403,0.563342439329405,0.57389011691064,0.752222085117457,-5.67982787993429,"P60","MUT cells from HET vs WT cells from WT","Snca1"
"Emc91",0.0926933218129804,7.72790028094867,0.695588783815982,0.487567221267079,0.685535774477827,-5.76131578328538,"P60","MUT cells from HET vs WT cells from WT","Emc91"
"Stk381",0.0926820080469071,8.35945609215471,0.524621288172499,0.600480291199501,0.770279543745938,-5.65685588335181,"P60","MUT cells from HET vs WT cells from WT","Stk381"
"1700088E04Rik1",0.0926815602145448,7.59519977933125,0.872436658967121,0.384111449790925,0.600669203087756,-5.72514674532558,"P60","MUT cells from HET vs WT cells from WT","1700088E04Rik1"
"Bnip3l1",0.0926601915228042,7.63876948538676,0.719616412572596,0.472677603125005,0.673817008710114,-5.8036386778251,"P60","MUT cells from HET vs WT cells from WT","Bnip3l1"
"Hsf11",0.0926170925844598,7.91579481207101,0.667804817861421,0.505098030198281,0.700472300611329,-5.68976280020522,"P60","MUT cells from HET vs WT cells from WT","Hsf11"
"Arhgap421",0.0925257703061719,7.52905650888503,0.866803566857426,0.387182756118137,0.603410052317861,-5.79057176098098,"P60","MUT cells from HET vs WT cells from WT","Arhgap421"
"Snx41",0.092407189029891,7.56504397535406,0.899340158538825,0.36965128550076,0.584956399493401,-5.73410986370475,"P60","MUT cells from HET vs WT cells from WT","Snx41"
"Adgrb21",0.0922546857749786,8.56918361873646,0.547738487291019,0.584537756757022,0.76046659616933,-5.60445013524057,"P60","MUT cells from HET vs WT cells from WT","Adgrb21"
"Dcaf61",0.0922455831846545,8.02545468775184,0.585599469184144,0.558864903552724,0.740945573593156,-5.69083265003154,"P60","MUT cells from HET vs WT cells from WT","Dcaf61"
"Gm266521",0.0922047850542889,7.76472475167105,0.67035789100097,0.50347326875901,0.698864855487904,-5.75667296535029,"P60","MUT cells from HET vs WT cells from WT","Gm266521"
"Zfp7061",0.0921646450257514,7.66683516791968,0.749638463404557,0.454433390475928,0.658354689170206,-5.76439539251766,"P60","MUT cells from HET vs WT cells from WT","Zfp7061"
"Celf41",-0.0921321194881237,9.20358956137529,-0.604576783846098,0.546207775799691,0.73113506057811,-5.58643066031454,"P60","MUT cells from HET vs WT cells from WT","Celf41"
"Car111",-0.0920192848704229,8.2555259959148,-0.591108159315445,0.55517606799197,0.737744149851557,-5.64476460388248,"P60","MUT cells from HET vs WT cells from WT","Car111"
"Mfap3l1",0.0919888647579645,7.71701854699433,0.780411108059811,0.436155431356633,0.643007928664081,-5.71145508599522,"P60","MUT cells from HET vs WT cells from WT","Mfap3l1"
"Akap61",0.0919866218433487,8.8675326187763,0.575165371440891,0.565884711090879,0.746816544499816,-5.58682489861651,"P60","MUT cells from HET vs WT cells from WT","Akap61"
"L3mbtl11",0.0919626697330829,7.58999199284985,0.844759462361493,0.399346258875342,0.612194959468962,-5.75774957790426,"P60","MUT cells from HET vs WT cells from WT","L3mbtl11"
"Katnal11",0.0918377323183215,7.85193525316979,0.678476399403684,0.498325242948129,0.695061825851814,-5.70827112675958,"P60","MUT cells from HET vs WT cells from WT","Katnal11"
"BC0055371",0.091821529038242,8.21159507037169,0.566209997268039,0.571943508155406,0.750861892077494,-5.65475180160291,"P60","MUT cells from HET vs WT cells from WT","BC0055371"
"Ptprn1",-0.0918141022673407,9.05965962687892,-0.626365272625565,0.531854538259719,0.719624315741242,-5.566770892913,"P60","MUT cells from HET vs WT cells from WT","Ptprn1"
"Epg51",0.0917939654721929,7.60746838148134,0.860059730483565,0.390879465242651,0.606133839995393,-5.73036098702733,"P60","MUT cells from HET vs WT cells from WT","Epg51"
"Map2k71",0.0917507862623657,7.63796517738545,0.776475994171456,0.438468666320279,0.644428727229604,-5.77516810038272,"P60","MUT cells from HET vs WT cells from WT","Map2k71"
"Ndrg31",-0.0917195293279178,8.64694633717768,-0.561030470004001,0.575461871321049,0.753235939050252,-5.59828193979663,"P60","MUT cells from HET vs WT cells from WT","Ndrg31"
"Ahi11",-0.0917189618110008,9.76625245559605,-0.781302717756592,0.43563229075607,0.642677984111279,-5.51805314852645,"P60","MUT cells from HET vs WT cells from WT","Ahi11"
"Prkg11",-0.0917150957868991,7.95756784319722,-0.676790475000937,0.49939197688261,0.695644587809005,-5.67450207309955,"P60","MUT cells from HET vs WT cells from WT","Prkg11"
"Rogdi1",-0.091676983375466,8.39026552963291,-0.548609004389996,0.583941310473314,0.759822367572698,-5.64288322716418,"P60","MUT cells from HET vs WT cells from WT","Rogdi1"
"Efna31",0.0916292584117242,7.54553257942263,0.864676642265984,0.38834632621286,0.604622774650449,-5.77321318534965,"P60","MUT cells from HET vs WT cells from WT","Efna31"
"Fat31",-0.0916160387235054,7.92938970875903,-0.668040112703931,0.504948173455798,0.700393917488411,-5.68817771319778,"P60","MUT cells from HET vs WT cells from WT","Fat31"
"Hps51",0.0915900709883708,7.6281004760346,0.750364824644734,0.453996998907694,0.657936168366809,-5.79184477217203,"P60","MUT cells from HET vs WT cells from WT","Hps51"
"Ppp2r1a1",0.0915760665223679,7.65079914319197,0.725192776493027,0.46925843794333,0.670689262820439,-5.80467674035696,"P60","MUT cells from HET vs WT cells from WT","Ppp2r1a1"
