,gene,L2_3_IT_M_P30_CORT,L4_M_P30_CORT,L5_M_P30_CORT,L6_M_P30_CORT,Lamp5_M_P30_CORT,Non_neuronal_M_P30_CORT,Oligo_M_P30_CORT,Pvalb_M_P30_CORT,Sst_M_P30_CORT,Vip_M_P30_CORT
24,Cacnb2,-0.227676354245528,-0.262673845197239,-0.124877309774554,-0.139188831686188,0.0891765464294135,0.15657096271123097,-0.00915535606195049,-0.45786867372502094,-0.239831331652598,0.0616562686957547
25,Pgp,0.0576688158051143,0.146990565013051,-8.96298301068521e-05,0.0385007179175786,0.173866823839923,0.139390957819793,0.08787635522375702,0.331482755187411,-0.021975226463806,-0.019242159511666
26,Pls3,0.0375698908593549,0.08738362717021801,0.053369956634873005,0.014768218883628,0.0599811582735816,0.0854143146047698,-0.00258086063169022,0.25197777848645697,0.0440916082751329,-0.137047255513278
27,Taf9,0.0188531185460949,0.0380072907660071,0.001292935007828,0.0134263751192055,0.0998614974873684,-0.0304068018645976,-0.000443705500256228,0.174314579200034,0.0721343803682678,0.0134368904753289
28,Lrrc3b,0.0512484075860897,0.00274991786087293,0.0542405198895572,-0.00670518052517705,0.0826813106291315,0.00879016982410415,-0.00792699668007824,0.126027085261279,-0.0393138432131897,0.0944703915849849
29,Tenm2,-0.385327435737556,-0.35186289477288896,-0.251615619778131,-0.19994266234029698,-0.34655440358253004,-0.14344287951200102,0.0164352029569095,-0.10020429567977801,-0.5561930641949151,-0.50360184439463
30,Frmd4b,0.0039294960137462,-0.059490951077852995,-0.0346920669985307,0.0140016942197981,-0.0333520135787058,-0.045679069252203,-0.13474694846725502,-0.128074822095576,-0.507697558477994,0.0123998558385187
31,Grid2,-0.0276345533407835,-0.181349818917628,-0.0459231994104323,-0.214139491329823,-0.0196886825938252,0.0424972118577578,-0.0610589004403105,-0.054201411921467,-0.47453286920616605,-0.0693275230345575
32,Msi2,-0.0140982396653627,-0.0173247163160818,-0.104559759747897,-0.0358629716854697,-0.183502629551786,-0.10886758817038,-0.0845127830960248,-0.22394441996893105,-0.43830623683309994,-0.38413234315493605
33,Epb41,-0.12229644199306401,-0.20544392109834803,-0.0989109264560494,-0.0382231077766905,-0.505023730388363,0.11103701953679598,-0.0329788794039691,-0.42457359147597,-0.43244507597417203,-0.186401229353258
34,Zbtb4,-0.10174308064075399,-0.154844006805304,-0.13059555018163002,-0.0842819751716354,-0.0621541715509686,-0.135412619639855,-0.0785425807633372,-0.212507768982576,-0.414141149999747,-0.12441310805649002
35,Epha5,-0.23287191531146803,-0.43351047110027296,-0.304435445091422,-0.24649221080120298,-0.371867929199841,0.41807317630617,-0.0222242211190752,-0.34907222809631494,-0.264588326109187,-0.785654411387166
36,Plk2,-0.29439726181924497,-0.0771824070452052,-0.31603792179253104,-0.20222294124283702,-0.25028384164747497,-0.0897981062559684,0.0965452523299356,-0.0605991705274221,-0.20191043580257997,-0.59149775173813
37,Dicer1,-0.165281776252766,0.0817958860199792,-0.111250513040004,0.0325812387879427,-0.28407281728170897,0.0583275232702889,-0.225428220621939,-0.016910632815670002,-0.203212706764995,-0.581663234570361
38,Coro6,-0.180477011807525,-0.22475821317205702,-0.34044749102323396,-0.108611294888883,-0.12823496940919998,0.126344866245692,0.0140300866553747,-0.254513701945463,-0.290646358197852,-0.5574121052711429
