"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Atp6v1g2",0.00993566667606061,8.49284969042764,0.0988819589822823,0.921285768308913,0.968815434700029,-5.73540667623248,"P30","WT cells from WT vs WT cells from HET"
"Pten",-0.00991852924311054,8.2991722921806,-0.0956934734215604,0.923816049709206,0.969968177227472,-5.7640850322295,"P30","WT cells from WT vs WT cells from HET"
"Amigo1",-0.00989321638608942,7.68791874820044,-0.114486758911313,0.908914304902838,0.964271644691645,-5.93914759376738,"P30","WT cells from WT vs WT cells from HET"
"Purb",-0.00984179876220104,8.0317759383298,-0.0851950267207545,0.932152618596777,0.972613549067002,-5.82234170639867,"P30","WT cells from WT vs WT cells from HET"
"Uvrag",0.00984091782454399,8.06354334257379,0.0972521205928897,0.922579058245106,0.969481122100025,-5.81296941516999,"P30","WT cells from WT vs WT cells from HET"
"Rpl37",-0.00979768390054403,8.01580377180537,-0.103655213203349,0.917499367300733,0.967521407087696,-5.8250805375673,"P30","WT cells from WT vs WT cells from HET"
"Pitpnc1",0.00979485589317441,7.65175594694581,0.107327115094783,0.914587891488171,0.966347324190001,-5.95534715461197,"P30","WT cells from WT vs WT cells from HET"
"5330417C22Rik",0.00978619403083503,7.89200489343531,0.110595774459909,0.911997115906216,0.965169556164544,-5.86398321980951,"P30","WT cells from WT vs WT cells from HET"
"Hspe1",-0.00976572607824533,7.62775634018002,-0.108039225862338,0.914023386008066,0.966022187993355,-5.96549286522211,"P30","WT cells from WT vs WT cells from HET"
"Ptbp2",0.00973799817606213,8.41347543827998,0.0970852212471145,0.922711505885404,0.969484900192959,-5.74697296947334,"P30","WT cells from WT vs WT cells from HET"
"Igfbp6",-0.00971058907367706,7.49800120251987,-0.131292348624014,0.895615704589358,0.959901925259096,-6.02525889951059,"P30","WT cells from WT vs WT cells from HET"
"Adamts10",-0.00968344486967254,7.71404137636184,-0.120612309638787,0.904063863698521,0.962142151798603,-5.92822719915319,"P30","WT cells from WT vs WT cells from HET"
"Zfp512b",0.00963024576573179,7.82087053695941,0.110879498161358,0.911772277253546,0.965169556164544,-5.88885256382461,"P30","WT cells from WT vs WT cells from HET"
"Tpp2",0.00960571384604947,8.2073556669865,0.0932010406158811,0.925794506082228,0.970602641860927,-5.77988463502794,"P30","WT cells from WT vs WT cells from HET"
"Gpr158",0.0096007798471458,8.16216287930534,0.103686356668143,0.917474668709162,0.967521407087696,-5.78799073183084,"P30","WT cells from WT vs WT cells from HET"
"Tjap1",0.00958590394876513,7.56458615190351,0.108190737596937,0.913903285014636,0.966022187993355,-5.99472151768861,"P30","WT cells from WT vs WT cells from HET"
"Mrps14",0.00957350253703027,7.64038355612248,0.11158867767238,0.911210314494521,0.965169556164544,-5.96035570259088,"P30","WT cells from WT vs WT cells from HET"
"Helq",0.00954575560678261,7.8582415963931,0.105725173544464,0.915857942609362,0.96676826114868,-5.87664084592771,"P30","WT cells from WT vs WT cells from HET"
"Gabbr2",0.00952678320308209,8.36548891690603,0.100763343700098,0.919793134385288,0.968582558785784,-5.75353608141246,"P30","WT cells from WT vs WT cells from HET"
"Lasp1",-0.00951930288006686,7.63646703200493,-0.126932692517753,0.899062914085109,0.960510025965303,-5.95934208883148,"P30","WT cells from WT vs WT cells from HET"
"Zeb2",-0.00951557302661321,8.86269061923008,-0.0807611215167397,0.935675777637118,0.97399343538208,-5.72598228656405,"P30","WT cells from WT vs WT cells from HET"
"Ggnbp2",0.00950263081435487,8.49400755581437,0.0902109003218637,0.928168642356973,0.971338911262675,-5.73618485564343,"P30","WT cells from WT vs WT cells from HET"
"Shank2",0.00948025318611023,8.1472220989668,0.101978902661765,0.918828897079947,0.967973763879799,-5.7916835234568,"P30","WT cells from WT vs WT cells from HET"
"Gm26917",-0.00945169949153879,9.37478120468134,-0.0931445718449581,0.925839335544374,0.970602641860927,-5.75474074815739,"P30","WT cells from WT vs WT cells from HET"
"Nlk",-0.00945122446839974,8.40993242630367,-0.0854326052222341,0.931963876946159,0.972551485456713,-5.74733547348421,"P30","WT cells from WT vs WT cells from HET"
"Copg1",-0.00941823511381834,8.14079534798435,-0.0911220134059938,0.927445160266316,0.971338911262675,-5.7941764080269,"P30","WT cells from WT vs WT cells from HET"
"Sult4a1",0.0093879562904764,8.03492281339397,0.103030034788064,0.917995187277477,0.96760316034597,-5.81993695545005,"P30","WT cells from WT vs WT cells from HET"
"Git1",-0.00936563024295189,7.76395808557921,-0.0995336278655815,0.920768722072945,0.968723228898619,-5.91084982409455,"P30","WT cells from WT vs WT cells from HET"
"Cfap36",0.00934789284505122,7.69877972642247,0.110351852367006,0.912190419176777,0.965169556164544,-5.93586842350672,"P30","WT cells from WT vs WT cells from HET"
"Adcy8",-0.00933655389630328,7.77060694068292,-0.112954584795026,0.910128078408921,0.964615250309723,-5.9066536831031,"P30","WT cells from WT vs WT cells from HET"
