"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"73","CLCN4",-0.51602077767438,1.73350497981882e-07,9.73001959783739e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"74","TGOLN2",-0.524148710052669,1.73565312314991e-07,9.73001959783739e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"75","PLEKHB2",-0.514344365742329,2.16014014637814e-07,1.19315976320534e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"76","CMIP",-0.522132972297835,2.6497656119858e-07,1.44239415052444e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"77","KIAA0513",-0.503655762007266,3.29755601907741e-07,1.73912761625415e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"78","RGS7",0.59098748451961,3.32840037852049e-07,1.73912761625415e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"79","MTURN",-0.565067994705987,3.33379095767568e-07,1.73912761625415e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"80","ATP1A3",-0.524352597570077,3.45910203572212e-07,1.77977907481812e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"81","DNAJB2",-0.517545964989571,3.57848569704659e-07,1.81632328082527e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"82","PNMA8B",-0.503759851304377,3.90572404068726e-07,1.87483635531782e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"83","SBNO1",-0.512847924731895,3.91188720892758e-07,1.87483635531782e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"84","KIF1A",-0.621841812378983,3.92369487739238e-07,1.87483635531782e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"85","CTNND1",0.531227910987577,3.93019143533851e-07,1.87483635531782e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"86","CRYM",0.522249937079578,3.94334590176006e-07,1.87483635531782e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"87","LY86-AS1",0.501996397313244,4.09803752661473e-07,1.92402861874562e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"88","NFE2L1",-0.494360332267705,4.71616532796079e-07,2.1641050375579e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"89","PPM1A",-0.508765097664882,4.72461696165463e-07,2.1641050375579e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"90","MARCKS",-0.51638942365953,4.79337807725155e-07,2.16914795881408e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"91","NCEH1",-0.519343659189464,5.08481901949695e-07,2.27364050443221e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"92","ATP6AP2",-0.523560550545817,5.17354497063004e-07,2.28609822466899e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"93","SLC17A7",-0.648822950473099,5.2914907882596e-07,2.29282420501692e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"94","KLC1",-0.574293758794093,5.31085478797848e-07,2.29282420501692e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"95","CCDC14",0.518822106146195,6.70072718334241e-07,2.85999219325387e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"96","KCNQ2",-0.492056407714773,6.87291061368947e-07,2.87570806126108e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"97","HMGCS1",0.502925578512424,6.90700409695398e-07,2.87570806126108e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"98","RIMS3",-0.483759457125239,6.98072188263216e-07,2.87570806126108e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"99","CA11",-0.543223704506921,7.04380036304631e-07,2.87570806126108e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"100","ANXA11",-0.478918478112307,7.25435138974829e-07,2.9298219161177e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"101","SYNPO",-0.479242036884532,8.49919931733188e-07,3.37340601112412e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"102","GPI",-0.569983443114273,8.53231019853013e-07,3.37340601112412e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"103","CASD1",-0.49379647631363,8.75083535771594e-07,3.42376433370636e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"104","SYN1",-0.513764217794915,9.63288079972489e-07,3.73001033853265e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"105","TBRG1",0.516159768408556,1.02479425380007e-06,3.9276808339521e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"106","SULT4A1",-0.501434201444024,1.04322927663193e-06,3.94761343451777e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"107","CACNG3",0.483384311502908,1.05101529140516e-06,3.94761343451777e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"108","FAT3",-0.576580013005308,1.07444688157164e-06,3.99566582889414e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"109","DLG2",0.647707517581367,1.11794311579076e-06,4.11666112050008e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"110","CAMKK1",-0.47906913869259,1.19654261509786e-06,4.36331462359957e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"111","KLC2",-0.47065656473534,1.35315386564776e-06,4.88696723016633e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"112","PPP2CA",-0.487368116304673,1.51462812038203e-06,5.41804116205228e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"113","MT-CO3",0.619993984231213,1.70982211085847e-06,6.02686658413791e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"114","PPP1R9A",-0.552194089898964,1.71691886182842e-06,6.02686658413791e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"115","MAST3",-0.48739996275263,1.769446630809e-06,6.15374217159129e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"116","CAMK2G",-0.473362058888365,1.80518495985255e-06,6.22043551303321e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"117","ZNF493",0.516093810504931,1.86068023800795e-06,6.3533772490526e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"118","EPN1",-0.459899513678692,1.92583070605289e-06,6.51626422558813e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"119","SLC2A3",-0.484044464471881,1.94308198420093e-06,6.51626422558813e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"120","PKIA",-0.479358334032491,1.99810684705258e-06,6.64149497126504e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"121","KIAA1549L",-0.559397803304462,2.12398939717695e-06,6.94133687338869e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"122","DLG4",-0.475939956497789,2.12527619925373e-06,6.94133687338869e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"123","GUCY1A2",-0.615727344352338,2.17085868125131e-06,7.02909069549994e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"124","AL078639.1",-0.552588032442545,2.21240588626791e-06,7.06485676487212e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"125","CMTM4",-0.461872908004571,2.21952369077452e-06,7.06485676487212e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"126","ABLIM1",-0.496194446026531,2.34633255777634e-06,7.40573536723357e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"127","JUND",-0.477044018497232,2.42052123845302e-06,7.57623147635796e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"128","TUBB4B",-0.457772317083467,2.4620671863706e-06,7.59568561340325e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"129","EIF1AX",-0.51800700389543,2.46718222799573e-06,7.59568561340325e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"130","TMEM246",-0.457404171702926,2.55372870676617e-06,7.79821546553961e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"131","ENO1",-0.495471035068732,2.6935248441502e-06,8.15877364082915e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"132","LNPEP",-0.494971643756032,2.74746701118211e-06,8.2555888752e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"133","CACNG8",-0.492261572849625,3.1203438031853e-06,9.30159628949522e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"134","SYT7",-0.464335132355031,3.3031139640764e-06,9.76889452682753e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"135","TMEM245",-0.459037113002922,3.4037989811752e-06,9.98802263538596e-05,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"136","OLFM3",0.504403663799848,3.73905518714722e-06,0.00010886737428624,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"137","ANKH",-0.456731094887428,3.95962832207775e-06,0.000114402799828646,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"138","DDAH1",-0.445969433666073,3.99605661203126e-06,0.000114573959044194,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"139","ENO2",-0.640297075554163,4.03809997367592e-06,0.00011490229925096,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"140","GFOD1",-0.46053655356555,4.24890015957733e-06,0.000119991496235883,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"141","ARHGAP5",-0.505358036570039,4.31414042713854e-06,0.000120924712271137,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"142","FOXO3",-0.460282044124808,4.45528475450153e-06,0.000123184911063867,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"143","CANX",-0.525440247154295,4.46036951668954e-06,0.000123184911063867,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"144","HSP90AA1",0.752626448444904,4.54948887290681e-06,0.000124729052603197,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"145","RGS6",0.45023489291066,4.62670827501061e-06,0.000125926929572028,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"146","CCSAP",-0.480086507656996,5.04697637082053e-06,0.000136377289559726,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"147","PRKCA",-0.453891678884385,5.16911904424312e-06,0.000138680079501265,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"148","SLC24A4",-0.476095303102207,5.50919543549322e-06,0.000146755589047607,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"149","PPP1CB",-0.478030819178153,5.90393904859997e-06,0.000155271696621553,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"150","LSAMP",-0.592277519069863,5.91156885433495e-06,0.000155271696621553,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"151","ATP6V1A",-0.478916724365301,6.23534046200136e-06,0.000162638463717202,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"152","SV2B",-0.56270333066313,7.08621921006524e-06,0.00018257062414995,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"153","NLRP1",-0.434815556835827,7.09672820178188e-06,0.00018257062414995,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"154","LUC7L",0.479576294475896,7.45644396909407e-06,0.000190519752026648,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"155","CYFIP2",-0.505611803060477,7.54341467398086e-06,0.000191439631861298,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"156","AC245595.1",0.439729888452349,7.69223382822036e-06,0.000193906243347622,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"157","APBB1",-0.449093469809135,7.89919111068901e-06,0.000197795745411653,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"158","DMTN",-0.466015794882231,8.2748810075301e-06,0.000205830814995252,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"159","IDH3A",-0.434503668038664,8.55767032956468e-06,0.000210920913024121,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"160","RUNDC3A",-0.449113151540891,8.59182632925732e-06,0.000210920913024121,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"161","CHD5",-0.464974020735071,8.66865063111636e-06,0.000211425011496578,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"162","CAMSAP2",-0.546253029755321,9.38838211757001e-06,0.000226530870148701,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"163","APBA2",-0.435470810338656,9.40863038956265e-06,0.000226530870148701,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"164","CBX5",-0.452121081605839,9.64589034476846e-06,0.000230764102770384,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"165","PAFAH1B2",-0.437916230065358,1.01546149631937e-05,0.000241397049378199,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"166","RFTN1",0.435651766219214,1.06174966144614e-05,0.000250813316251051,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"167","SLC24A2",-0.505796150407155,1.17265381855309e-05,0.000275280483905339,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"168","AC027031.2",0.473001142498289,1.21979514360476e-05,0.000284568357725433,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"169","THSD7A",-0.481430059379436,1.34085959771842e-05,0.000310880780804344,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"170","SPIN1",-0.470316713612064,1.36840227382933e-05,0.000315320180398955,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"171","SCAMP5",-0.446119969085457,1.41550725875862e-05,0.000323612391528208,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"172","CXXC5",-0.418886807595313,1.42161993083478e-05,0.000323612391528208,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"173","PCP4",-0.490743012991035,1.44411963529064e-05,0.000326753816274195,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"174","NCDN",-0.561736131973151,1.60496812428054e-05,0.000360973669149564,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"175","PPP3R1",-0.549961013208002,1.62795020210993e-05,0.000363963152328864,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"176","ABR",-0.423581277997308,1.6702328413501e-05,0.000371206778231419,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"177","SNAP91",-0.470598244344545,1.72736298366185e-05,0.000381007499548898,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"178","KCNQ3",-0.437093449988832,1.73461880785042e-05,0.000381007499548898,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"179","RLIM",-0.42290009454113,1.80967998582952e-05,0.000395183606207889,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"180","AMPH",-0.425812753194492,1.87018788398679e-05,0.000406036167182334,"L2_3_IT","females","P30","CORT","limmaVoomCC"
