"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"71","RGS7",0.590987485,3.3284e-07,1.73913e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"73","ATP1A3",-0.524352598,3.4591e-07,1.77978e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"74","DNAJB2",-0.517545965,3.57849e-07,1.81632e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"75","PNMA8B",-0.503759851,3.90572e-07,1.87484e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"76","SBNO1",-0.512847925,3.91189e-07,1.87484e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"77","KIF1A",-0.621841812,3.92369e-07,1.87484e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"78","CTNND1",0.531227911,3.93019e-07,1.87484e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"79","CRYM",0.522249937,3.94335e-07,1.87484e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"80","LY86-AS1",0.501996397,4.09804e-07,1.92403e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"81","NFE2L1",-0.494360332,4.71617e-07,2.16411e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"82","PPM1A",-0.508765098,4.72462e-07,2.16411e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"83","MARCKS",-0.516389424,4.79338e-07,2.16915e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"84","NCEH1",-0.519343659,5.08482e-07,2.27364e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"85","ATP6AP2",-0.523560551,5.17354e-07,2.2861e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"86","SLC17A7",-0.64882295,5.29149e-07,2.29282e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"87","KLC1",-0.574293759,5.31085e-07,2.29282e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"88","CCDC14",0.518822106,6.70073e-07,2.85999e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"89","KCNQ2",-0.492056408,6.87291e-07,2.87571e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"90","HMGCS1",0.502925579,6.907e-07,2.87571e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"91","RIMS3",-0.483759457,6.98072e-07,2.87571e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"92","CA11",-0.543223705,7.0438e-07,2.87571e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"93","ANXA11",-0.478918478,7.25435e-07,2.92982e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
