"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"SYNGR1",-1.466149495,-0.552032215,2.39734e-08,1.95748e-06,8.086671476,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"IGSF11",1.453131717,0.53916548,2.59546e-08,2.07416e-06,7.79421569,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PSD",-1.464836546,-0.550739691,2.98224e-08,2.33361e-06,7.889073103,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FEM1B",-1.507479259,-0.592138153,3.31417e-08,2.54041e-06,8.23082111,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"IGSF10",1.448440709,0.53450063,3.51268e-08,2.63872e-06,7.931175464,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DYNLL2",-1.466341049,-0.552220692,4.43688e-08,3.26763e-06,8.031271879,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"AGAP3",-1.446156996,-0.53222418,5.52841e-08,3.99321e-06,7.892340466,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PTP4A2",-1.452696509,-0.538733333,5.79942e-08,4.10993e-06,7.95807606,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LINC00461",1.456215762,0.54222413,6.14521e-08,4.27433e-06,8.006241282,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MNAT1",1.480464817,0.566050205,7.08704e-08,4.78156e-06,8.310619138,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
