"","SYMBOL","FC_mouse","logFC_mouse","P.Value_mouse","adj.P.Val_mouse","AveExpr_mouse","Sex_mouse","DEG_method_mouse","Cell_Type_mouse","Metadata_mouse","Time_point_mouse","Tissue_mouse","broad_class_mouse","FC_human","logFC_human","P.Value_human","adj.P.Val_human","AveExpr_human","Sex_human","DEG_method_human","Cell_Type_human","Metadata_human","Time_point_human","Tissue_human","broad_class_human"
"23","ANK3",1.58462451560966,0.664141027340626,1.06125935197953e-05,0.00128004204915685,9.96365618488143,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.427998927,-0.513994896,7.22113e-05,0.014949844,9.505520906,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"24","ANK3",2.12178740537817,1.08528011121421,3.87944172823438e-05,0.00697254499260402,10.2763030324243,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.259114324,-0.332409281,0.000396005,0.008302449,10.56474768,"female","LimmaVoomCC","Oligo","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
"25","ANK3",2.12178740537817,1.08528011121421,3.87944172823438e-05,0.00697254499260402,10.2763030324243,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.427998927,-0.513994896,7.22113e-05,0.014949844,9.505520906,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"26","ANKRD28",1.51008646453383,0.594631157750925,0.000149004213899289,0.0255339039272873,8.5132015250206,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P60_CORT","P60","CORT","Glutamatergic",-1.279825897,-0.355947565,9.18459e-05,0.005802989,9.648028662,"female","LimmaVoomCC","OPC","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
"27","ANKRD28",-1.5195180391426,-0.603613802090934,0.00794453571920704,0.0407078515469067,7.94525524087498,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.279825897,-0.355947565,9.18459e-05,0.005802989,9.648028662,"female","LimmaVoomCC","OPC","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
"28","APLP2",1.40534079202917,0.490920023223807,0.00105729697742776,0.0276306943434453,8.9171598187256,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.346970474,-0.429718227,0.000371697,0.004000274,8.467021777,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"29","APOO",-1.25264949008897,-0.324982783652545,0.00219306390909472,0.0402189966018774,7.95235431435414,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.174638954,-0.232217387,0.002800653,0.038327764,7.237962444,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"30","APPBP2",-1.5808226447636,-0.660675518314429,0.00199447120901081,0.0294477334533286,7.81894706021235,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.246432493,-0.317804749,0.001179385,0.009425043,7.843760281,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"31","ARF1",-1.58024089207814,-0.660144499741701,0.00397364113397283,0.0324971665418049,7.88661026651139,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.295999038,-0.374064647,0.000834729,0.007377039,8.382774317,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"32","ARIH1",-1.48546029366044,-0.570910042463952,0.0101376190968207,0.0440032493243217,7.86737788683996,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.291073412,-0.368571036,0.00029075,0.003380978,8.107270224,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"33","ARPP21",-2.46550436459044,-1.30188280679053,1.08178192686991e-05,0.00404067805434591,10.9453125252921,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P60_CORT","P60","CORT","Glutamatergic",1.307623207,0.386946887,0.010436723,0.047002794,9.690450643,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"34","ASAH1",-1.46435905403735,-0.55026933911897,0.00864468482539971,0.0414977561018685,7.76255543298657,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.290854728,-0.368326649,0.000118544,0.004388052,7.959677631,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"35","ATP1A3",1.95948154057059,0.970471981997171,1.32933379036901e-09,4.16879076659722e-06,10.2630399519611,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",1.238843003,0.308993369,0.002721825,0.037580568,8.146240047,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"36","ATP1A3",1.95948154057059,0.970471981997171,1.32933379036901e-09,4.16879076659722e-06,10.2630399519611,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.43828801,-0.524352598,3.4591e-07,1.77978e-05,7.915337058,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"37","ATP1A3",1.6120811849871,0.688924400335482,5.78093869921731e-05,0.010372697414784,9.74802526320772,"females","LimmaVoomCC","Lamp5","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",1.238843003,0.308993369,0.002721825,0.037580568,8.146240047,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"38","ATP1A3",1.6120811849871,0.688924400335482,5.78093869921731e-05,0.010372697414784,9.74802526320772,"females","LimmaVoomCC","Lamp5","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.43828801,-0.524352598,3.4591e-07,1.77978e-05,7.915337058,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"39","ATP1B1",2.02977027962194,1.02131645883724,8.09266024247692e-09,6.34464563010191e-06,10.5557073044527,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.325961795,-0.407039208,0.000376606,0.009682661,10.67317699,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
