"gene_name","module","color","kME_green","kME_turquoise","kME_blue","kME_grey","kME_magenta","kME_brown","kME_yellow","kME_black","kME_pink","kME_red"
"Gm8797","yellow","yellow",0.037455214260051,0.0532871080022821,0.0740377211451548,0.0401005627797711,0.012880165322401,0.00947998488290211,0.212330454623669,0.0194323709679771,0.0400589952930155,0.101398841145408
"Pkia","turquoise","turquoise",0.0800482414210933,0.166472511202246,0.065197024171248,0.118110098700697,0.0833013076541389,0.0993372510308332,0.115378319298782,0.137352863300064,0.0924856239491479,0.12210442067019
"Zc2hc1a","grey","grey",0.0741318806744836,0.136916142493112,0.0681200573470983,0.145968671153913,0.0759854037214907,0.123859454891111,0.111252141201275,0.13041186093879,0.0893216588635521,0.117885294238602
"Stmn2","yellow","yellow",0.189389565180607,0.244817774529636,0.125524992100348,0.248269696017307,0.169550926275298,0.20343733295167,0.374978736842277,0.216004051570053,0.158456637122751,0.29343580066735
"Mrps28","turquoise","turquoise",0.0344219071538071,0.0936390848517204,0.0360130153410133,0.0411020582773643,0.0295433496303743,0.0184107747502668,0.0607727043341244,0.0551403273130619,0.0409051488299391,0.0576061127678825
"Tpd52","turquoise","turquoise",0.00546929428130834,0.150762400426593,0.0777241794487205,0.114226848795661,0.0474011937528368,0.10375396173761,0.0706510210970962,0.131821349244912,0.032425381184411,0.0478274414248664
"Zfp704","grey","grey",0.0251776490664221,0.0936784096076458,0.0795761203212816,0.114001357342255,0.0342631831912851,0.0912706392966072,0.0216688277900811,0.0887244086599284,0.0510818849050115,0.0567560889848836
"Pag1","turquoise","turquoise",0.000970911315527046,0.0690762925195678,0.0156179997607218,-0.0120866282989936,-0.0427460567004288,-0.0444932286792864,-0.00494065845169881,0.00748807786411168,0.00260263379417756,-0.0124495117572691
"Fabp5","blue","blue",-0.035538334897745,-0.0134016181929866,0.0789842226028588,-0.0472133820830578,-0.0430814619245476,-0.0652298587994901,0.0608342738968389,-0.0535888161825242,-0.0533716730686787,-0.0375043899346622
"Impa1","grey","grey",0.0625246121032596,0.0962991155715351,0.0727972241797189,0.10642966868087,0.0522541632866338,0.0668900570128123,0.10381174778614,0.069928123499034,0.0640791025457075,0.10258844696033
"Zfand1","turquoise","turquoise",0.0773300135387334,0.193351580542687,0.0637347217458927,0.108659255578525,0.0533972269361029,0.0696881773178839,0.093691908460572,0.12980615456377,0.0993320549869307,0.114594681241077
"Snx16","turquoise","turquoise",0.0522230973926933,0.169706078615643,0.0556069709545662,0.113270277101284,0.0737290393408474,0.0947716892048933,0.0718971401461498,0.143024070562462,0.0833895075915572,0.096576097310687
"Ralyl","black","black",0.12711853423358,0.394647648167645,0.0954639432265678,0.321245722954569,0.177702226210427,0.344173538943407,0.129752543154135,0.465633247316603,0.218134498490418,0.202862724719884
"Lrrcc1","grey","grey",0.0583712250781149,0.128453634677804,0.0541153202136676,0.136014124154896,0.0658927098498374,0.128691540106902,0.0408760845654892,0.140609961483415,0.101413276966218,0.083216601433371
"1810022K09Rik","yellow","yellow",0.0883262637780634,0.138853072094061,0.0724466931857438,0.111252619069087,0.0744076340162194,0.0725901900042732,0.129370312390406,0.0980370581657541,0.100758211915335,0.134649985669656
"Car2","blue","blue",-0.294629491075444,-0.248203483341038,0.0836066674695827,-0.318706157382008,-0.265112335147084,-0.345049397545482,-0.165462754731722,-0.329368307382843,-0.283861882927091,-0.325528421496117
"Ythdf3","turquoise","turquoise",0.0489928201785898,0.15721102739347,0.0752439455940347,0.117353648547917,0.0687973818097898,0.0926024945727363,0.0456211625362497,0.124983500643302,0.0785515745957534,0.0797483019228245
"Mir124-2hg","grey","grey",0.23122456086145,0.256346098308937,0.122436921668351,0.34832290120184,0.262191470990534,0.274285211438258,0.189214541444932,0.235099879191321,0.207572824154408,0.304237066566331
"Cyp7b1","pink","pink",0.0239358917345125,0.0810974288246191,0.0472019641591614,0.0645377111262204,0.0588461747798034,0.0788012006366339,0.0735474675856809,0.0964868054071114,0.160067473732722,0.0698673366555245
"Armc1","turquoise","turquoise",0.0326922003530111,0.146371026640609,0.0673408375983489,0.0877415411733613,0.0471558371857538,0.0702163408825323,0.0886166096389551,0.11292331669349,0.0643837207096577,0.0766201185273583
"Pde7a","grey","grey",0.0523171913901219,0.148756978425351,0.0682036947042613,0.15364367131529,0.0574799605359487,0.141883562573762,0.0110840914681633,0.152775428812669,0.0917490248771507,0.0699740363759731
