"","logFC","logCPM","F","PValue","FDR"
"Tubb5",0.651973544085979,9.11712725152249,19.6309346696468,9.86232960173039e-06,0.00123941407848899
"Cacng3",0.458126229348866,9.9144032357328,19.510276582965,1.04993189103649e-05,0.00130990415709965
"Plekha7",-0.776447766552804,8.89016178455312,30.646768312914,1.05817608671145e-05,0.00131069191977777
"Rph3a",0.633635407237061,9.2554679918953,19.4626840911023,1.07618020064699e-05,0.0013234710367528
"Luc7l2",0.286923407566063,10.8065733837942,19.3582086047917,1.1361372305783e-05,0.0013872960779338
"Dpf1",0.71421482047181,8.99902893214795,22.5085613756119,1.19892941451877e-05,0.00144385093868017
"Igf1r",-0.600182188075049,9.25275309938409,19.254097279535,1.19922567364387e-05,0.00144385093868017
"Gm44643",0.683019758436145,9.01288665551249,20.843426078718,1.27553190905742e-05,0.00152505783876678
"Gm32647",0.816580990751379,8.83617423147632,47.9304880452089,1.34251199387699e-05,0.0015878935874445
"Lrpprc",0.6159407454657,9.14364025819779,19.0309973724014,1.34653228650112e-05,0.0015878935874445
"C730002L08Rik",0.646182203347063,9.03649372942357,18.983395102173,1.3802457632589e-05,0.00161479793501596
"Cacnb3",0.625451433747598,9.19264242452817,18.9724657082466,1.38810532835199e-05,0.00161479793501596
"Necab3",0.647316695790718,9.10906635764264,18.8804802466212,1.4560623860273e-05,0.00168248497316994
"Ntm",0.40567942335459,10.1392489408832,18.8518263262854,1.4779070567957e-05,0.0016963417197901
"Glra3",0.768195360653559,8.88847597540609,31.257339246424,1.59410528591668e-05,0.00181759673560447
"Nol4",0.622428502275414,9.15196389788819,18.6906406797261,1.60707402115401e-05,0.00182032851461898
"Sv2b",0.478322073942823,9.71239824338891,18.6391089163992,1.65071816856524e-05,0.0018575434449796
"2900093K20Rik",0.738691889999153,8.94101823816827,26.5970079996864,1.76753835364462e-05,0.00197608492433113
"Rhob",0.688898312787336,8.97035159099645,22.6406884630023,1.83430240869307e-05,0.00203749577873991
"Pin1",0.751689086390458,8.95240535143767,23.8418554173327,1.86443113871355e-05,0.00205768659713021
"Taf15",0.552551868703273,9.29666560109129,18.3847441710301,1.88425115695535e-05,0.00206175039084681
"Gtpbp10",0.718152556640398,8.86153690850747,37.7099345280815,1.89206343587034e-05,0.00206175039084681
"Prkab2",0.599124400125692,9.18154299491561,18.3635080086044,1.90519004852797e-05,0.00206299729971736
"Bach2",-0.682681843354362,8.95782123683038,23.0249040923963,1.96207142435383e-05,0.00211131148206874
"Pfn2",0.568482185945413,9.25732204219388,18.2832651506145,1.98644404234815e-05,0.00212426130913715
"Gm15283",0.722219332300693,8.81859646714186,65.6889262561767,2.04795659773624e-05,0.00217652276192746
"Ifrd1",-0.621298913349676,9.11783187315332,18.1860070060492,2.08961394781529e-05,0.00220717075702674
"Cadm1",-0.499927121560333,9.53350489104098,18.1092327739782,2.17484736981202e-05,0.00228319190036912
"Bicc1",-0.655422406884876,8.98755828396465,20.6445913320448,2.34833415434013e-05,0.00243940548495217
"Gspt1",0.633611643631004,9.0661853724711,19.3695078521752,2.35198530813765e-05,0.00243940548495217
"Cux1",0.577552767903546,9.35381640390785,17.8821221134099,2.44801031064226e-05,0.00249791021897061
"Tmem108",0.533152574578832,9.43922500567309,17.8796095009523,2.45121790394349e-05,0.00249791021897061
"Dscam",-0.652868972847774,9.02743886679364,19.1966344137689,2.45191860954889e-05,0.00249791021897061
"Tceal5",0.604669607253062,9.16915213611173,17.8468092537905,2.49348040330081e-05,0.00252530894727235
"Cetn3",0.653680450307433,9.04358189718947,19.7863913209559,2.54283727168852e-05,0.00256023563196849
"Atp6v1g2",0.548118860579363,9.36195219349534,17.7657306209606,2.60112050399419e-05,0.00260369137891093
"Grcc10",0.691030393746563,8.98779499683465,21.9335871789861,2.65912202173189e-05,0.00264636438428659
"Lrrtm2",-0.667711413215657,9.00310475143604,19.5680255211566,2.81394207868883e-05,0.00278407262339621
"Ago2",0.605154597733237,9.16162033505635,17.5979230747766,2.83898263430973e-05,0.00278407262339621
"Gm42067",0.73560253085769,8.85216846204134,39.1399373573969,2.84600558586126e-05,0.00278407262339621
"mt-Nd1",0.998244158402045,8.84825475076728,45.7684191570547,2.86995033803676e-05,0.00279163474406661
"Ptk2b",0.583180637876987,9.21829991495522,17.4741504377849,3.02834293286202e-05,0.00292915619522952
"Sgpp2",-0.645055258164081,8.81815720755585,60.4001612906705,3.08842219771584e-05,0.00297057904905439
"Prag1",-0.62700723922685,9.02196649624173,18.4668179182626,3.37311308888634e-05,0.00322638266951979
"Tiparp",-0.755794514380764,8.87028174029763,30.9256383168862,3.39218274894315e-05,0.00322669670654995
"Rbfox1",0.511224170308042,9.51254543484295,17.1807995569561,3.52947547541588e-05,0.00333884501429864
"Ddx17",-0.349733230491889,10.2070161486571,17.1329530153129,3.61878806943292e-05,0.00340462700499599
"Snta1",0.734973575982095,8.94238283471735,23.2911950265092,3.72263989344886e-05,0.00348329842638636
"Ubb",0.532483759803553,9.52547968204293,17.028934114513,3.82087919797233e-05,0.00355589606224268
"Camk2n1",0.374850319187869,10.4082257225858,17.0026916897097,3.8736333195208e-05,0.00358560993882739
"Ccdc28b",0.611965654051817,9.08983663389233,16.9752517267891,3.96992698322045e-05,0.00365198256133315
"Plk5",0.684082860157291,8.82830094584064,48.2891049777422,3.98861225782153e-05,0.00365198256133315
"Dnajb11",0.709002146373277,8.95038456316377,22.0180014995507,4.00897197009912e-05,0.00365198256133315
"Sox6",0.515638481750436,8.79538898512635,121.281344536593,4.12052735925674e-05,0.00373384839706965
"Ncbp2",0.68175701170674,8.98101238446507,20.742397504142,4.18075472034939e-05,0.00376858921572018
"Mfn2",0.657457670740625,8.99002871750198,20.5655518538893,4.25236643087059e-05,0.00381317671043224
"Rnf207",0.748570098758719,8.87780409180058,29.2153907227314,4.32807513448088e-05,0.00386095697359364
"Tle3",0.712887869447101,8.92497068420228,24.0752549004656,4.64845494397392e-05,0.00412538395723706
"C230021G24Rik",0.338645020652376,8.78727280001484,191.572091255424,4.73974880634428e-05,0.00417533196920789
"Pde2a",0.591532024675445,9.12929981965716,16.6090448202421,4.75893120255184e-05,0.00417533196920789
"Ahi1",-0.309896036057221,10.4632904936262,16.5950742526695,4.79384550563119e-05,0.00417533196920789
"Ywhaz",0.447860651334572,9.63770481502261,16.5919291980412,4.80174089506396e-05,0.00417533196920789
"B230307C23Rik",0.579320108569326,9.17700235577228,16.5698417021039,4.857559557797e-05,0.00420264336214025
"Hpca",0.58510255579577,9.19264021614178,16.5494403168819,4.90969713753945e-05,0.00422651278085084
"Ift20",0.58829302850894,9.15230090916995,16.5270336867835,4.96760849125413e-05,0.00425509031810559
"Zdbf2",-0.664167361583606,8.96358427129736,18.674904255587,5.02238710760999e-05,0.00428071479364957
"Prickle2",0.502390902188973,9.41991571155217,16.4925088667921,5.05818871790756e-05,0.00428999187961648
"Ifi27",0.522495885637943,8.79975171536943,101.297206173186,5.27431165410835e-05,0.00445136390925409
"Mical2",0.364004187924065,10.2422529807451,16.3505617155146,5.44841143249002e-05,0.0045758682747893
"Prkca",0.496231174816297,9.51562037991221,16.325169489456,5.52134670514994e-05,0.00461461292342556
"Gadd45b",-0.762246790951709,8.86012056299809,31.5313876432618,5.73810363546734e-05,0.00477260532810827
"Tnfrsf25",0.655112425590263,8.92793036260678,22.318676641002,6.18259923890476e-05,0.00511758707193381
"Prom1",0.310919433312144,8.78526340560138,179.298370972557,6.305640965859e-05,0.00519446031144471
"Ndufb10",0.646478873991967,8.98324202692624,19.3163242313157,6.6334921705906e-05,0.00543851593814563
"Arhgap15",0.653916267014291,8.82431445274121,50.5061751821204,6.71188170470618e-05,0.00547670461184485
"Nudt4",-0.617072607417044,9.01933742867863,16.9872816391293,6.79308097905929e-05,0.00551681486870113
"Cox14",0.707012934305557,8.9012200725507,25.1694782686034,6.97204390533715e-05,0.00563557182714505
"Atp5c1",0.618295434518183,9.04515461013668,16.8618461659249,7.0390174438457e-05,0.00566311978180801
"Gpc5",0.633006739293816,8.81542066648116,58.2445358620611,7.16628357920965e-05,0.00573869322712802
"Abcc2",-0.225143388581458,8.78317330603438,214.823602360536,7.63327951108053e-05,0.0060843598769571
"Sh3bgrl3",0.692835484163141,8.94843297649938,20.4606242321993,7.9305876099438e-05,0.00625518876299959
"Efnb2",-0.601489920962505,9.04777710074006,16.3444513480708,7.95052308580748e-05,0.00625518876299959
"Npm1",0.6542273735554,8.96926609541423,19.5335564648108,7.96999176849303e-05,0.00625518876299959
"Dnajc1",0.491214672632864,9.39477438743904,15.6196687053266,7.99292285450374e-05,0.00625518876299959
"Olfm2",0.561416496110308,9.18963736508752,15.5992294502559,8.07915946224286e-05,0.00629406735119617
"Traip",0.697980736603095,8.86334987505318,29.6206783296758,8.43638969145226e-05,0.00654276222151953
"Anxa11",0.685116868730866,8.89413773833472,24.6575098648348,8.49195895049613e-05,0.00655632543725076
"Fam19a1",0.457385565117041,10.0732680089423,15.4816418556081,8.59380067938418e-05,0.00660533331682845
"Dpy19l1",-0.600254087868745,9.04698092832931,15.4241367955604,8.85737687570039e-05,0.00677766478528594
"Ppp1r1a",0.597684717279149,9.13790241527349,15.3672221497979,9.12626397918869e-05,0.00695251712078282
"Gm17597",0.648513864647421,8.81349150435281,63.5230076516953,9.19226029134066e-05,0.00697194473286397
"Cbwd1",0.692735072593344,8.89334116839314,25.4254851452104,9.25966604874208e-05,0.00699226624391194
"Clmp",0.667477564211772,8.86091044848339,30.0712622155348,9.41069353800968e-05,0.00704976062611371
"Ppia",0.514374021402482,9.40849206879751,15.307411697778,9.41769729921678e-05,0.00704976062611371
"Ech1",0.63002159740871,8.8437715720226,37.9193176764206,9.60319251959426e-05,0.00713146063742996
"Ddn",0.582458017746492,9.08405401707939,15.2690210121083,9.60968152339984e-05,0.00713146063742996
"Elmo2",0.551975212996829,9.13900741169485,15.2321308257917,9.79787528637025e-05,0.00722080842846925
"Luzp2",0.676167239190908,8.87250976460461,25.6428825511297,9.81395813592266e-05,0.00722080842846925
"Rasgef1a",0.522723360421375,9.25166688337673,15.2011213040088,9.95893810768097e-05,0.00729629946382737
"Lrrc14",0.659250245671877,8.92600584464803,21.5320511608802,0.000102283437800165,0.00746192351103999
