"","logFC","logCPM","F","PValue","FDR"
"Cadm2",1.07514793123377,11.4544296198967,27.350653326137,2.00299422346967e-07,0.000112612786341739
"Mef2c",-1.02187874092641,11.4551259986668,26.7972598371992,2.64995828940239e-07,0.000143665595832601
"Nrxn1",1.14853961597625,11.480727512253,26.2490076185026,3.49785786813447e-07,0.000183094767028556
"Hes5",1.1347358767645,11.3411778348312,34.3423702716216,3.75748206895276e-07,0.00018977441570634
"Hsp90b1",1.04873507338021,11.5053870925219,26.0466865330537,3.87549860796873e-07,0.00018977441570634
"Mlc1",1.1199093817447,11.2808010533934,63.7143502886293,4.51653134263879e-07,0.000214252955566428
"Cd63",1.18241004892598,11.3361198958221,40.5259549158103,4.72586740773886e-07,0.000217389900755987
"Fads2",1.18724695590068,11.3028408176551,49.3686156740657,6.03510196383048e-07,0.000269449552385137
"Ntrk2",1.06184856965561,11.3559547892981,35.0434137397354,7.50927237352263e-07,0.000325687870371639
"Slc7a10",1.03649320991376,11.2546231120378,105.750515287894,8.81067953100851e-07,0.000371516986890859
"Agt",0.717313399991485,11.2380914782576,190.834039685153,9.07306106595544e-07,0.00037224072157082
"Sox11",-0.977031310278108,11.5170058780341,24.2757746447463,9.52519252113708e-07,0.000380506374923318
"Magee1",1.05388715776484,11.2644225625598,82.7910505559097,1.79880408827652e-06,0.000700149898975323
"Cd81",1.03353896876666,11.4045082218627,25.5957244658136,2.10868441950526e-06,0.000800245737202245
"Atp1b2",1.10365551682146,11.2735005863485,65.3197010744776,3.53014502787751e-06,0.00129977570342195
"Dclk1",1.05652219621259,11.6000153205512,21.6725500047853,3.59621736124651e-06,0.00129977570342195
"Psap",0.968965031133818,11.4421412224617,22.3031447141642,3.89349727117993e-06,0.00137449508317468
"Dtna",1.02886474817355,11.3278826616655,33.7237810429841,4.14994538550822e-06,0.00143173115800034
"Smpdl3a",0.839231713022502,11.2518837368266,98.2281794152924,6.10762446313125e-06,0.00206030531889627
"Tpp1",0.717244359888344,11.2413272731992,144.66898512177,8.0218792722158e-06,0.00264722015983121
"Plcb1",-1.00175441636771,11.3509156065125,24.9563935785733,1.07824311355279e-05,0.00348249584334711
"Pacsin1",0.842618642773539,11.2497597652283,100.833728644502,1.18146929785937e-05,0.00373639665448027
"Nav2",1.02470038604882,11.3358046381038,28.7180628062459,1.35994483234044e-05,0.00421305358263835
"Grid2",1.14090835233882,11.2638564412327,70.2126160890463,1.84987553333575e-05,0.00561622211920733
"Igsf11",0.992156765531527,11.2798916664463,48.360644035663,1.93545732666137e-05,0.00576083180759207
"Gng12",0.963184413504432,11.2723098944747,54.2795954767404,2.14615251868171e-05,0.00626511446799776
"Fam184a",0.805075453305802,11.2544786472621,76.6417269484745,2.34901153178917e-05,0.00672792359482258
"Scd2",0.881416749496011,11.4196798269848,18.2288460147226,2.51110022509556e-05,0.00693421363570062
"Grm5",0.934688029109298,11.3076446844504,29.6100932697416,2.51239624481907e-05,0.00693421363570062
"Sgcd",0.780900640068196,11.2542195471775,77.0806972823175,2.78106159919807e-05,0.00753866340639761
"Slc27a1",0.909190697694641,11.2658852251649,56.1863540755174,3.05041372975937e-05,0.00812373340662232
"Foxg1",-0.889326250134812,11.2876698705718,43.2169540243069,3.1740671217798e-05,0.00820208009836466
"E330013P04Rik",-0.433966840756715,11.2319340723937,135.775414892602,3.18789674442368e-05,0.00820208009836466
"Epha5",-1.0210993309264,11.7697074248879,17.3700860334822,3.29861052985305e-05,0.00834548464052821
"Me1",0.865940011131273,11.2569087046844,71.8128125978957,3.58406219025053e-05,0.0085713679543756
"Dpp6",0.993653392416214,11.3050260409073,35.3325388975589,3.61012138834286e-05,0.0085713679543756
"Adgrg1",0.950215081024599,11.2804078869808,44.4463313398729,3.61278188760236e-05,0.0085713679543756
"Zfp36l1",1.04611642323393,11.3003166249585,35.352930878312,3.61375197022423e-05,0.0085713679543756
"Cst3",0.854141142318774,11.581472673417,17.1260164771013,3.74387197895373e-05,0.00874338102161809
"Apba1",0.811826861788824,11.2534770438761,72.3754349485669,5.07647932395353e-05,0.0116759024450931
"Nek7",0.682101308196127,11.2420789628637,111.580895061923,5.24732259361397e-05,0.0117543152639917
"Sox4",-0.863148779667555,11.4590905819266,18.0706671708429,5.26543766766426e-05,0.0117543152639917
"Rasgef1b",-0.854657775371377,11.2582947441707,63.4707666428356,5.40733718374203e-05,0.0118961418042325
"Tcf4",-0.88590904384831,11.7052941442711,16.188632551799,6.09489507155737e-05,0.0129950655249013
