Cluster,Gene,logFC,logCPM,F,PValue,FDR
L2_3_IT,Calm2,0.601886563,9.699788923,26.3324454,3.13E-07,7.49E-05
L2_3_IT,Cox8a,0.630397176,9.509386421,25.77482471,4.16E-07,9.31E-05
L2_3_IT,1110008P14Rik,0.676501626,9.355920152,24.38626539,8.49E-07,0.000166025
L2_3_IT,Mast3,0.644422123,9.39670285,24.14068959,9.63E-07,0.00018415
L2_3_IT,Nrgn,0.502424504,10.08519423,23.42275132,1.39E-06,0.000257725
L2_3_IT,Plcb1,0.456957462,10.02614673,22.5369676,2.20E-06,0.000370715
L2_3_IT,Pdlim7,0.530189097,9.681475617,22.37231579,2.39E-06,0.000395579
L2_3_IT,Dgkb,0.652897099,9.420886965,22.33934362,2.43E-06,0.000395579
L2_3_IT,Rasgrp1,0.579577237,9.517381899,21.93091614,3.00E-06,0.000469819
L2_3_IT,Numb,0.55273477,9.584374152,21.73038297,3.33E-06,0.000507199
L2_3_IT,Nptxr,0.546889897,9.63595405,20.06430676,7.88E-06,0.001035393
L2_3_IT,Rbfox1,0.51122417,9.512545435,17.18079956,3.53E-05,0.003338845
L2_3_IT,9530059O14Rik,0.42000948,9.993016093,14.70862527,0.000129059,0.008817527
L6,Mid1,-3.40267378,9.520998292,691.7421107,2.95E-114,5.13E-110
L6,Arc,-3.181660737,9.907990419,468.6052793,3.16E-96,2.75E-92
L6,Fos,-2.965060154,9.487399853,416.584246,1.90E-86,1.10E-82
L6,Btg2,-2.920013749,9.485399359,455.0172234,8.44E-85,3.67E-81
L6,AC149090.1,-1.831031505,10.83672016,301.3378042,3.39E-64,1.18E-60
L6,Gm47283,-2.459130388,9.523120505,333.1749035,1.24E-59,3.60E-56
L6,Junb,-2.617600595,9.800465493,260.2554001,4.65E-56,1.16E-52
L6,Dusp1,-2.193551633,9.454143175,277.5106876,6.37E-47,1.39E-43
L6,Cyr61,-2.388898369,9.409592567,270.5968973,4.72E-41,9.13E-38
L6,Npas4,-1.961038614,9.598010324,169.6701772,1.06E-37,1.84E-34
L6,Egr1,-1.663144605,10.04577558,154.8167625,1.24E-34,1.96E-31
L6,Nr4a1,-1.461313152,9.564689566,109.831438,3.10E-25,4.15E-22
L6,mt-Co1,1.4084083,9.528811373,79.21196164,3.87E-16,3.21E-13
L6,Hecw2,0.944858833,9.713580251,52.0861718,6.81E-13,5.39E-10
L6,Gm26917,-0.638899366,10.8841425,32.72359553,1.17E-08,5.87E-06
L6,Auts2,-0.632133456,10.03205944,29.20057153,7.07E-08,3.08E-05
L6,Nrgn,0.646781329,10.00714487,28.10215795,1.24E-07,4.80E-05
L6,Dst,-0.393162448,10.51966349,19.39053453,1.11E-05,0.00226345
L6,Pbx1,-0.414744865,10.3823708,12.42709508,0.000429922,0.034018575
Sst,Mid1,-3.078382748,9.497151541,207.8577215,3.50E-32,5.76E-28
Sst,AC149090.1,-1.56817528,10.78806064,78.69792895,3.24E-18,2.67E-14
Sst,Auts2,-1.012280862,10.12634601,27.9319855,1.54E-07,0.00021129
