"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aplp1",2.6708480731763e-07,0.132900999035282,1,1,0.00463792767907064
"Chn1",2.67151866458793e-07,0.139710962800221,1,1,0.00463909216105694
"Rpl11",2.78246904559074e-07,0.137912497808276,1,1,0.00483175749766832
"Srsf5",2.80936424450131e-07,0.131724954299318,1,1,0.00487846101057653
"Herc1",2.8580835647815e-07,0.130549881159542,1,1,0.00496306211024307
"Pcdh17",2.97604660168677e-07,0.138809536562899,1,1,0.00516790492382908
"Nbea",2.99288086003113e-07,0.12920818429675,1,1,0.00519713761344406
"Etnk1",3.02140867134622e-07,0.132474883461605,1,1,0.00524667615779271
"Kif3a",3.12912619416006e-07,0.138277608401906,1,1,0.00543372763615895
"Nptxr",3.17661240763936e-07,0.135940458908698,1,1,0.00551618744586574
"Dctn1",3.38143578305757e-07,0.136785116884195,1,1,0.00587186323727947
"Kalrn",3.57132064703539e-07,-0.14269196466189,1,1,0.00620159830357695
"Becn1",3.60777085644324e-07,0.138323898765311,1,1,0.00626489409221368
"St6galnac5",4.06105304506579e-07,0.136595932875849,1,1,0.00705201861275674
"Cox7c",4.0833286452952e-07,0.135525276419127,1,1,0.00709070019255512
"Nedd4",4.14695556335339e-07,0.133103980967861,1,1,0.00720118833576315
"Tecr",4.573107540663e-07,0.128113562523872,1,1,0.0079412012443613
"Tial1",4.62606604382827e-07,0.135926330305405,1,1,0.0080331636851078
"Gpm6a",4.66466512074643e-07,0.129090904007213,1,1,0.00810019098217618
"Scn2a",4.87187025017815e-07,0.123310707346064,1,1,0.00846000268943436
"Celf5",4.88272294927215e-07,0.130730758562156,1,1,0.00847884840141109
"Hpcal4",5.01272320717856e-07,0.134297143112749,1,1,0.00870459384926557
"Tra2a",5.3050451566042e-07,0.13241846237563,1,1,0.0092122109144432
"Rpl6",5.31609248813898e-07,0.131929121114323,1,1,0.00923139460565333
"Pnmal2",5.4064263136762e-07,0.133970249499805,1,1,0.00938825929369873
"Dmxl2",5.57711201922498e-07,0.131414286032904,1,1,0.00968465502138418
"Hint1",5.84032871814937e-07,0.136134493339361,1,1,0.0101417308190664
