"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Rgs62",-0.0271549540069476,7.77817004508902,-0.243263965364049,0.808040541690459,0.958058348518799,-5.73682060314203,"P150","Rgs62"
"Acat12",0.0271423080658337,8.1122247586706,0.178596180088158,0.858428543055591,0.971688908034792,-5.50534797572596,"P150","Acat12"
"Neurod21",-0.027108853654406,7.5322612876181,-0.413877231170715,0.679390253562336,0.917243035548778,-5.90175631931236,"P150","Neurod21"
"Sobp2",-0.0271039876990313,7.81564908141924,-0.22073367259596,0.825516225467434,0.962650616186309,-5.70568695246049,"P150","Sobp2"
"Mcf2l2",0.0270690963775664,8.08778716584198,0.163146433272413,0.870561465252719,0.973806875190085,-5.51913648327556,"P150","Mcf2l2"
"mt-Nd21",-0.0270667341986384,7.49519598324178,-0.474002071380843,0.635995372006861,0.902367641766411,-5.90441573539891,"P150","mt-Nd21"
"Fam228b2",-0.027046725898658,7.67610591136316,-0.240807393255183,0.809941478358351,0.958073497320866,-5.83347148103647,"P150","Fam228b2"
"Sf12",-0.0269339637184505,8.4649505863204,-0.147958023943703,0.882519157808262,0.975080222657552,-5.36819521329527,"P150","Sf12"
"Pitpnm32",-0.0269233857351319,7.81324091558024,-0.218808587204355,0.827013601965813,0.962650616186309,-5.71021869197999,"P150","Pitpnm32"
"Lypla22",0.0269127243253591,7.83619877609329,0.269492105731636,0.78781804334507,0.950164742608116,-5.67838507353888,"P150","Lypla22"
"Manbal2",-0.0267981326403879,7.70979828139675,-0.277426737976357,0.781727855511571,0.947690420897059,-5.79314522465457,"P150","Manbal2"
"Rilpl12",-0.0267576520478361,7.61566308594476,-0.306071899203566,0.759855886460921,0.940904218475735,-5.8726041653935,"P150","Rilpl12"
"Chsy32",-0.0267536193325721,7.92333323196275,-0.218711526580003,0.827089114818864,0.962650616186309,-5.61719835656207,"P150","Chsy32"
"Ppp1r14c2",0.0267318152332328,7.67762046980454,0.255467374804166,0.798614460134595,0.953234141019023,-5.82864714858588,"P150","Ppp1r14c2"
"Zfp4082",0.0266732486824672,7.72335951969728,0.285684628474019,0.77540384134106,0.945367302973901,-5.77354693245954,"P150","Zfp4082"
"Cyp7b11",0.0266632412794925,7.48688679039086,0.414457932798966,0.678965673611128,0.917243035548778,-5.93795459642652,"P150","Cyp7b11"
"2010315B03Rik2",-0.026656958513855,7.61797873680873,-0.33017096464552,0.741602928664912,0.934972530447418,-5.85622880753567,"P150","2010315B03Rik2"
"Dgkq2",-0.0266552369048823,7.67552968988182,-0.261882610156507,0.793670979616869,0.95154238753403,-5.82903124233144,"P150","Dgkq2"
"Zcchc62",-0.0266455503001861,7.94240677130496,-0.219647398524592,0.826361076656015,0.962650616186309,-5.60255444370375,"P150","Zcchc62"
"Adcy62",-0.0266275346407134,7.55261498541222,-0.335175431973186,0.737830381192636,0.934329079655397,-5.91363207936849,"P150","Adcy62"
"Leng82",0.0266156231925443,8.57418863213185,0.152645837717035,0.878825476017767,0.97479452605154,-5.34377824525312,"P150","Leng82"
"Rfc12",0.026573091484134,7.66908006010813,0.277696223288144,0.781521247556659,0.947690420897059,-5.82810136014996,"P150","Rfc12"
"Rogdi2",0.0265645581585687,8.20562989735539,0.164103326129691,0.869809079859986,0.973806875190085,-5.46392201305251,"P150","Rogdi2"
"Hbq1b1",-0.0265113155317325,7.47622059565891,-0.469249072181552,0.639382872425199,0.902367641766411,-5.92205549922075,"P150","Hbq1b1"
"Psenen2",-0.0264901700712779,7.87083200030837,-0.214384484922094,0.830457165392422,0.963073799989451,-5.66097524731952,"P150","Psenen2"
"Etnk12",0.0264542976047046,8.95077636390375,0.157027097028018,0.875375736786933,0.973806875190085,-5.30423303850607,"P150","Etnk12"
"Bsdc12",0.0264243396837083,7.63047212904096,0.298490619539687,0.765626570826575,0.94220035897061,-5.85780491356298,"P150","Bsdc12"
"Mok2",0.0264150013452049,7.60276508528226,0.342371968410078,0.732416525251121,0.933798245837692,-5.8700898383691,"P150","Mok2"
"Rufy22",0.0264077973910233,8.34200554358612,0.179203222602221,0.857952490668717,0.971688908034792,-5.41080837774351,"P150","Rufy22"
"Parp112",-0.0263550103292873,7.6223277921121,-0.297558402010699,0.766337064661961,0.942267073611702,-5.85872335023501,"P150","Parp112"
"Fbxw52",-0.0263381936755751,7.69476260447909,-0.334679089676178,0.738204259597393,0.934329079655397,-5.79068790221688,"P150","Fbxw52"
"Pfkfb42",-0.02631785965281,7.73893812561997,-0.24119168481692,0.809644032276501,0.958073497320866,-5.77337233409638,"P150","Pfkfb42"
"Clmn2",0.0263007226936489,7.5310273433715,0.412845227794868,0.680145055524783,0.917243035548778,-5.90310799324901,"P150","Clmn2"
"Taz2",-0.0262924787129037,8.44496670332652,-0.157712131120669,0.874836564839194,0.973806875190085,-5.37278421218515,"P150","Taz2"
"Armc92",-0.0262849811003187,7.59405104920768,-0.350513088952696,0.726308213102823,0.931149611510829,-5.87141344851691,"P150","Armc92"
"Gmcl12",0.02625750434858,8.33744807987214,0.161887054916775,0.871551868605051,0.973806875190085,-5.41319076866459,"P150","Gmcl12"
"Zzef12",0.0262327265490132,8.0339336055964,0.17377365945016,0.862212268626871,0.972429953420929,-5.55149982951942,"P150","Zzef12"
"Uba53",0.0261955992084868,8.0197474501379,0.214487345109746,0.830377065167835,0.963073799989451,-5.55381922503949,"P150","Uba53"
"Limk22",-0.0261919709188456,7.83203873184271,-0.222126818672809,0.824433002095826,0.962650616186309,-5.69236260112976,"P150","Limk22"
"Litaf2",0.0260970410066736,7.46230933699345,0.527760646724134,0.598227740381261,0.88981690057952,-5.90700069356762,"P150","Litaf2"
"Cd92",-0.0260687829965001,7.48605186222406,-0.495964718945198,0.620442703022434,0.898987734521225,-5.90021526536353,"P150","Cd92"
"Idi11",0.0260311280648819,7.66174744806548,0.270021715932294,0.787411131846496,0.949826536391219,-5.8397465795927,"P150","Idi11"
"Nars3",0.0260124240970931,8.47440665605293,0.166314522823983,0.868070916020641,0.973806875190085,-5.36603341224794,"P150","Nars3"
"Smap12",0.0259760344340858,8.33739454395925,0.148696881835491,0.881936814533529,0.975080222657552,-5.41440875322405,"P150","Smap12"
"Nudt92",-0.025974136038446,7.75132940595556,-0.289282837315215,0.772652938384531,0.944866659402167,-5.74995509483484,"P150","Nudt92"
"Kantr2",-0.0259721531973813,7.98563251135812,-0.180263337329643,0.857121256712495,0.971688908034792,-5.58116680515462,"P150","Kantr2"
"Adgra12",-0.0259427634298799,8.28075261857642,-0.163923423014646,0.869950524981272,0.973806875190085,-5.42722296544829,"P150","Adgra12"
"Sept92",0.0258697961038994,7.52487258075967,0.413003640156433,0.680029172540448,0.917243035548778,-5.90694472367686,"P150","Sept92"
"Ctbp12",-0.025848791717368,7.87549015811078,-0.237177751912145,0.812752220630077,0.959433489185859,-5.65338537280562,"P150","Ctbp12"
"Tmem2012",0.0258481838363016,7.84893132712796,0.212380000101977,0.832018469341328,0.963207273423256,-5.67945957449531,"P150","Tmem2012"
"Aimp12",0.0258343721670098,7.91390894471548,0.182585595043657,0.855300937719265,0.971688908034792,-5.63352845413732,"P150","Aimp12"
"Ahdc12",-0.0258224497669319,7.62841437798227,-0.297909810322222,0.766069213938308,0.942243788970501,-5.86273071104527,"P150","Ahdc12"
"Myo9b2",-0.0258093761062037,7.74711521777847,-0.260879627080003,0.794443317878702,0.951734983080915,-5.76113216320989,"P150","Myo9b2"
"Sgta2",0.0258038924059854,8.03344489874306,0.184371971923432,0.853901199958202,0.971065290093312,-5.55115213062945,"P150","Sgta2"
"Coq32",0.0257963050769048,7.74807638572225,0.228514793687075,0.819470453699049,0.961619571312105,-5.76723807193065,"P150","Coq32"
"Pdzd22",-0.0257885399561077,7.77280611636216,-0.226071350923935,0.821367813049773,0.962650616186309,-5.74489022814265,"P150","Pdzd22"
"Brd12",0.0257411840383712,7.65940927417189,0.288505658669007,0.773246864815363,0.944866659402167,-5.83637318077122,"P150","Brd12"
"Psrc1",0.0257151241209312,7.46255100095636,0.520705734117516,0.60312536620452,0.890947368978161,-5.91033680840131,"P150","Psrc1"
"Nkain32",-0.0256730452619607,8.45733511185873,-0.145055606313431,0.884807363285464,0.975218034838845,-5.37053689687721,"P150","Nkain32"
"Htra12",-0.0256643688981999,7.5137597570836,-0.409847440693075,0.682339450708871,0.918308858743509,-5.91673430919144,"P150","Htra12"
"Atad2b2",0.0256528095128399,8.00348192000452,0.199448219374656,0.842106891988167,0.965580650526213,-5.56629407691395,"P150","Atad2b2"
"Cx3cl12",0.0256336340806058,8.45536416635379,0.171365450536268,0.864102935752773,0.973525723115915,-5.36997564304105,"P150","Cx3cl12"
"Atf62",0.0256310320095761,7.72756429633623,0.266871907044522,0.789832057517222,0.95154238753403,-5.77797355841331,"P150","Atf62"
"Ica12",-0.0256300062372183,8.1124201934822,-0.163081609429956,0.870612439197503,0.973806875190085,-5.50708188358494,"P150","Ica12"
"Ccng12",0.0256291942082143,7.78408499723839,0.209082873723244,0.834588068655661,0.963928032321942,-5.73719125699516,"P150","Ccng12"
"Gnai32",0.0256277746029197,7.66447671074422,0.268144698804071,0.788853549343135,0.951108108866025,-5.83634081006826,"P150","Gnai32"
"Mapkap12",0.0255900546093475,7.95533540866522,0.221086344641934,0.825241977995527,0.962650616186309,-5.59537366729263,"P150","Mapkap12"
"Pdia42",-0.0255770085496092,7.65599529677182,-0.275760745772599,0.783005475879838,0.948435925413389,-5.84353866732756,"P150","Pdia42"
"Utp32",0.0255686776586979,7.73943396366136,0.250992150570893,0.802067832367986,0.954878675892503,-5.76911827053817,"P150","Utp32"
"Eif5a2",0.0255512087013976,7.91145230479151,0.216944996896964,0.828463749909627,0.962650616186309,-5.62696614660017,"P150","Eif5a2"
"Kcnk22",-0.0255434929810541,7.7766296976443,-0.218743165944059,0.827064499318616,0.962650616186309,-5.74296137274336,"P150","Kcnk22"
"Zcchc72",-0.025533699683109,8.97059305885069,-0.152307428962602,0.879092031398013,0.97479452605154,-5.30329501253178,"P150","Zcchc72"
"Rbm242",-0.0255286057506421,7.59719759779925,-0.318630901182326,0.750325984521257,0.938743045226891,-5.88191219475766,"P150","Rbm242"
"Fmn12",-0.0254581663319282,7.55902933085885,-0.359131288697571,0.719860999440425,0.929099173563145,-5.89918019857107,"P150","Fmn12"
"Bmp12",-0.02545581374447,7.5201781773579,-0.322677364060363,0.747263562830025,0.937857612116106,-5.94173619118447,"P150","Bmp12"
"Fam171a12",0.0254461314622345,7.61033271067498,0.317467280955082,0.751207365749424,0.939040471019215,-5.87264642134755,"P150","Fam171a12"
"Sp42",-0.0254216110835177,7.777135588274,-0.217696488135537,0.827878907808975,0.962650616186309,-5.74263629446582,"P150","Sp42"
"Hip12",-0.0253636274068167,7.61909354997886,-0.263358350350621,0.792534969551706,0.95154238753403,-5.87961254619669,"P150","Hip12"
"Ncs12",-0.0253608226674569,7.84648657847099,-0.203040717714356,0.839301594280881,0.965537209380587,-5.68129707716637,"P150","Ncs12"
"Fbxl32",0.0253344510742854,7.64638758575256,0.239726282363667,0.810778418787362,0.95876144042115,-5.86091446893807,"P150","Fbxl32"
"Atad12",-0.0253197388466564,7.90008128798929,-0.224329074475673,0.82272135311332,0.962650616186309,-5.63030632347218,"P150","Atad12"
"Slitrk42",-0.0252965185632608,7.93588642694831,-0.179215248962156,0.857943059931118,0.971688908034792,-5.61422131650041,"P150","Slitrk42"
"Abca32",0.0252819109798841,7.84779408617806,0.220626753173482,0.825599373186026,0.962650616186309,-5.67686178798447,"P150","Abca32"
"Satb21",-0.0252596494636084,7.55813361987944,-0.379762387290143,0.704509078822141,0.92356122082323,-5.8950473082689,"P150","Satb21"
"Ick2",0.025219220223379,7.5596430225055,0.364620788058189,0.715764748349366,0.928814695971137,-5.89742128367853,"P150","Ick2"
"Zfp902",0.0252073431100497,7.59551441065263,0.314561136014314,0.753410044045965,0.939497161731861,-5.88325261042976,"P150","Zfp902"
