"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Morc32",0.064379745042829,7.62992099149182,1.14610336424041,0.252146535123691,0.703548379691764,-5.34668737393665,"P150","Morc32"
"Mesd2",0.0643525558551126,7.74120971072544,1.0214884810385,0.307378217165639,0.747457508160396,-5.39307188721616,"P150","Mesd2"
"Gfod22",0.0643480307687607,7.66915418651798,1.04383620771329,0.296923828910486,0.738937519166625,-5.42261218864626,"P150","Gfod22"
"Sema5b2",0.0643287493167977,7.41914774341377,1.62823550354197,0.103927802144189,0.533074462799928,-4.88296040372451,"P150","Sema5b2"
"Ino80d2",0.0643164693593183,7.72994783387211,0.942908425218239,0.346055136850687,0.77858143166939,-5.47104058631897,"P150","Ino80d2"
"Atp5a12",0.0643028478554424,8.59802680478027,0.785846853123561,0.432224838439804,0.822600994629513,-5.28308759267168,"P150","Atp5a12"
"Mms192",-0.0642986320893941,7.90638994505752,-0.88526195603909,0.376321300197079,0.793870347130339,-5.41059847531998,"P150","Mms192"
"Slc25a372",-0.0642956867176938,7.66914393764138,-1.16329547941973,0.245108567475744,0.699346732987352,-5.29782191336239,"P150","Slc25a372"
"Gak2",0.064241938610758,7.66241055307077,1.28013869754811,0.200923135433118,0.652950894438348,-5.17159057491377,"P150","Gak2"
"Pde5a2",0.064236276995663,7.44463684894708,1.57522352996768,0.115659570934248,0.554716589878358,-4.94239445180652,"P150","Pde5a2"
"Cox5b2",-0.064207339423433,8.54271940918479,-0.749709061810335,0.453683446954839,0.839539864341543,-5.31359205112605,"P150","Cox5b2"
"Cxadr2",0.0641793604550998,7.87100425114502,0.900820014059244,0.367995823819654,0.791338299591411,-5.41842494372661,"P150","Cxadr2"
"Camkk22",-0.0641739104905916,8.27635773127594,-0.840672768795172,0.400820181304056,0.80862516469518,-5.30333961427276,"P150","Camkk22"
"Ppp1r1a2",-0.0641654452673279,8.07052403398496,-0.8488382996055,0.396263318583681,0.806349776187722,-5.36262576136573,"P150","Ppp1r1a2"
"Ust2",-0.0641173310602552,7.48720146466179,-1.53290220136966,0.125754656654687,0.55928120054759,-4.966831383149,"P150","Ust2"
"Pvt12",0.0640806983019369,7.64184845590968,1.09646648324421,0.273254165514272,0.721740117758826,-5.38944015907554,"P150","Pvt12"
"Asna12",0.0640545255685101,7.68196530164378,1.06461438165812,0.287419911405374,0.731522690109537,-5.39248245658783,"P150","Asna12"
"Gfra42",-0.0640059840322866,8.18219168981,-0.857329192948934,0.391558279738041,0.804220499560806,-5.31749131602518,"P150","Gfra42"
"Gm21642",0.0639837770211864,7.42898667675472,1.89692531504907,0.0582517960513592,0.443668790775787,-4.42448725142215,"P150","Gm21642"
"BC0512262",-0.063954523816343,7.57978075073764,-1.1646275626994,0.244569073668175,0.69896782352944,-5.36081120084525,"P150","BC0512262"
"Epb41l32",0.063871978928379,8.19740779744264,0.832821172344588,0.405231464415557,0.808751880614995,-5.33225938880404,"P150","Epb41l32"
"Ppp6r12",-0.0638521190106864,7.56895358844179,-1.2882160232453,0.198099153417048,0.652329233588829,-5.22541188523698,"P150","Ppp6r12"
"Hdgfl32",-0.0638268764573677,8.44947728672103,-0.759694409677257,0.447694676385813,0.835579964272411,-5.32152992312909,"P150","Hdgfl32"
"Gabbr12",-0.0638056238047877,8.89957363793926,-0.796489180921142,0.426019535406002,0.820204374660967,-5.2529510081944,"P150","Gabbr12"
"Samd82",-0.0638045473855664,7.92935653537865,-0.88997477940634,0.373787146082298,0.792672170965115,-5.39565126855427,"P150","Samd82"
"Lrpap12",0.063801895365371,8.19683916386342,0.887054367766845,0.375356244653992,0.793870347130339,-5.29224337034577,"P150","Lrpap12"
"Kcnip12",0.0637102991703253,7.67235497053679,0.942111302139641,0.346462759186572,0.779044087242813,-5.51350531146285,"P150","Kcnip12"
"Chid12",-0.0636755878151201,7.68410192153542,-1.09171854292665,0.275334847598346,0.724185504431161,-5.36081166110659,"P150","Chid12"
"Bbx2",-0.0636310646555494,7.61286625366288,-1.15988788482479,0.246492449935052,0.699855669847238,-5.33994357241084,"P150","Bbx2"
"Rpl192",-0.063625630631396,8.74084390515846,-0.750136582076331,0.453426114644349,0.839539864341543,-5.2930259341871,"P150","Rpl192"
"2900093K20Rik2",-0.0636223309223691,7.70498167044793,-0.984886209422192,0.325022439116472,0.761091527101112,-5.4505968530923,"P150","2900093K20Rik2"
"Coil2",-0.0636136272374719,7.58008067417594,-1.28562379142655,0.199002257343619,0.652329233588829,-5.22038265835969,"P150","Coil2"
"Fam126a2",0.0636076094124522,7.54139771537213,1.23293507179657,0.218016534730799,0.672366567151336,-5.31890883389745,"P150","Fam126a2"
"Ppip5k12",-0.0636051219964573,7.92157506140323,-0.949529079741016,0.342681393312133,0.775355584786762,-5.34966431721771,"P150","Ppip5k12"
"Ccar12",-0.0635656826613529,7.87765442065284,-0.845269366311689,0.398251131725433,0.80717169204463,-5.45641699099376,"P150","Ccar12"
"Tmed52",0.0635402164021963,7.65441644482194,1.14191455472683,0.253882498820206,0.704983650973514,-5.33272016704511,"P150","Tmed52"
"Arhgap312",-0.0635274771892336,7.47219166203751,-1.34607976797776,0.178715343093522,0.627865114492202,-5.23397810423888,"P150","Arhgap312"
"Pik3ca2",0.0634634476175719,7.6499278400992,1.12362199046601,0.261561084593746,0.709789816649094,-5.35446702454766,"P150","Pik3ca2"
"Pdia62",0.0634543867497435,7.9973959916817,0.835426772266631,0.403764339505418,0.808751880614995,-5.4083144285433,"P150","Pdia62"
"4931406C07Rik2",0.0634498565449153,7.54854010964991,1.32781481529414,0.184674883375567,0.632822630874838,-5.19925021537135,"P150","4931406C07Rik2"
"Kcnc22",0.0634458491840775,7.85878620503075,0.819206712861528,0.412949089315766,0.811758970810767,-5.48987555112222,"P150","Kcnc22"
"Calm22",0.0634053084152697,9.21312644542651,0.828432267263667,0.407709915073683,0.810240815345306,-5.21909341028179,"P150","Calm22"
"Lrpprc2",-0.0634018956148559,7.95826127716225,-0.882797828325915,0.377650517780346,0.794692434646841,-5.38841389603208,"P150","Lrpprc2"
"6430548M08Rik2",0.0633811858817559,7.89188465098499,0.941484921152978,0.346783284573727,0.779201020130575,-5.37453521692264,"P150","6430548M08Rik2"
"Disp32",-0.0633775757848847,7.57753844671935,-1.17027738167378,0.24229018346937,0.69671816635864,-5.35697847915651,"P150","Disp32"
"Nlgn22",0.0633504970647092,7.88907466605509,0.923514220720214,0.356059552410434,0.784697517615432,-5.38964252528671,"P150","Nlgn22"
"Orc52",0.0633339135084947,7.61916871004125,1.21886785456386,0.223307574075989,0.678606258035267,-5.27550269415593,"P150","Orc52"
"Larp12",-0.0633255105726391,7.57044826046033,-1.24794085253172,0.212472672171799,0.667917068780893,-5.27450990891153,"P150","Larp12"
"Nrp12",-0.0633235017968845,7.66080016389581,-1.07002672559916,0.284978459869281,0.730380321975205,-5.40145676843061,"P150","Nrp12"
"Nol112",-0.0633112614365183,7.77263530221818,-0.988615139326093,0.32319526048848,0.760577526823488,-5.40163924721238,"P150","Nol112"
"Sharpin2",0.0633076242069261,7.85354262863311,1.00380442674678,0.315821975245753,0.753029266072335,-5.3403928633647,"P150","Sharpin2"
"Lmtk32",-0.0633059433850338,7.96506501134191,-0.835544662630357,0.403698034886105,0.808751880614995,-5.41978856936536,"P150","Lmtk32"
"Myh102",0.0632933937850968,8.24727755016558,0.844263362466952,0.398812538341785,0.80717169204463,-5.31021919078744,"P150","Myh102"
"Eif4h2",-0.0632919969115946,7.98408399971258,-0.910780964032262,0.362726321230356,0.788292459293893,-5.35245628640801,"P150","Eif4h2"
"Tdp22",-0.0632682856593778,7.6172598113823,-1.2180815794182,0.223606005661413,0.678829457470547,-5.27193800884107,"P150","Tdp22"
"Mfn12",0.0632667075876503,7.85396359911094,0.881601292443034,0.378297006307624,0.79529883484764,-5.44321628851482,"P150","Mfn12"
"Ddx52",0.0632497643336283,9.30625151147883,0.872387723492655,0.383297946235284,0.79918223968686,-5.18511861311223,"P150","Ddx52"
"Rtl8b2",0.0632420991582201,7.73572071603857,1.0095965037393,0.313039730472619,0.750437710037101,-5.40733685796568,"P150","Rtl8b2"
"Dusp122",-0.0632416144151389,7.98412478997103,-0.866789769422124,0.386356125937256,0.801335736105901,-5.3861524202916,"P150","Dusp122"
"Hs6st32",0.0632240093540908,7.48742316959547,1.43793409506262,0.150902510436889,0.595669537850779,-5.10331006445668,"P150","Hs6st32"
