"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Ubash3b1",0.0165848464060439,7.38643555823454,0.205705916878775,0.837257404608567,0.979407730911144,-5.81453283006888,"P60","Ubash3b1"
"Iglon51",-0.0165802361456873,7.6229063825871,-0.147572832982644,0.882848127009274,0.981510903561602,-5.67346877197068,"P60","Iglon51"
"Gtf2f11",-0.0165749337127572,7.6424634895812,-0.152516330234521,0.878953700697966,0.981510903561602,-5.66253707158855,"P60","Gtf2f11"
"Ptbp21",0.0165674040590726,8.42670489465389,0.0941695629942297,0.925081144982093,0.989292968349407,-5.4347030197392,"P60","Ptbp21"
"2810004N23Rik1",-0.0165165573843922,7.77443295135771,-0.111045768542825,0.911706067445307,0.98544294192812,-5.60268676759696,"P60","2810004N23Rik1"
"Gxylt11",0.016514770253564,7.67692964965409,0.137782585106416,0.890569107715133,0.981510903561602,-5.64627159298415,"P60","Gxylt11"
"Katnbl11",0.0164788967413223,7.56671884322469,0.15648335271342,0.875830659228155,0.981510903561602,-5.70615390465951,"P60","Katnbl11"
"Zfand61",-0.0164344264342819,7.6934794881283,-0.138515387959827,0.889990818189494,0.981510903561602,-5.63645753147218,"P60","Zfand61"
"Mlip1",0.0164059167537784,7.7272734362394,0.134829381791667,0.892900212645788,0.981510903561602,-5.62065108643618,"P60","Mlip1"
"St3gal11",0.0163684128069628,7.39206049956134,0.188059701989777,0.851045614062692,0.980068701042744,-5.81623749857832,"P60","St3gal11"
"Afg3l11",-0.0163603710029712,7.81111754680753,-0.127250561163242,0.898886763029602,0.982272407908078,-5.58652044088558,"P60","Afg3l11"
"Mef2a1",0.0163539142010354,8.39817925922494,0.0903228967835286,0.928132914527442,0.98947676176499,-5.44221094417945,"P60","Mef2a1"
"mt-Cytb1",0.0163390324386015,7.38195496444982,0.204787777027285,0.837973607797409,0.979729244989401,-5.81833006884954,"P60","mt-Cytb1"
"Orc41",0.0163079503780832,8.27473686359875,0.111058816040586,0.911695736028701,0.98544294192812,-5.45915686203256,"P60","Orc41"
"Tbc1d311",0.0163021612824927,7.45158926694504,0.170503984167792,0.864808847151951,0.980542954678958,-5.77940457585698,"P60","Tbc1d311"
"Thoc71",-0.0162961298537203,7.70233901716975,-0.120210829631561,0.904452694690811,0.984048734914835,-5.63424988784469,"P60","Thoc71"
"Nudt91",0.016212571064588,7.64202262357928,0.12035832138374,0.904336031456308,0.984048734914835,-5.66462326999607,"P60","Nudt91"
"Mib11",-0.0161891095084439,7.91807097886482,-0.11516946791116,0.908441551976087,0.984243544093253,-5.54698319094354,"P60","Mib11"
"Vwc2l1",-0.0161765994153349,7.39355273450129,-0.195292736379954,0.845388133646432,0.980068701042744,-5.80946495246593,"P60","Vwc2l1"
"Afap11",0.0161480267470777,7.46324305874719,0.116395166386273,0.907471529099733,0.984054284565255,-5.77487090414897,"P60","Afap11"
"Ubr21",-0.0161260838479347,8.22975521115821,-0.0968384924839227,0.922964388455846,0.988899365644546,-5.4691475524854,"P60","Ubr21"
"Rnf241",0.0161052023553765,7.7013189002917,0.116641423500588,0.907276656934735,0.984054284565255,-5.63565977113961,"P60","Rnf241"
"Gm194101",-0.0160865487876292,7.69720924714191,-0.117486035300506,0.90660832788725,0.984054284565255,-5.6414789164503,"P60","Gm194101"
"Agfg21",0.0159936574236736,7.77907726678724,0.117857627020571,0.906314313852429,0.984054284565255,-5.60079363602956,"P60","Agfg21"
"Plekha71",-0.0159847363395302,7.76721434978231,-0.118908185516928,0.905483151997281,0.984054284565255,-5.60832047831721,"P60","Plekha71"
"Cbfa2t31",-0.0159743258597143,7.56082912167757,-0.146550109214392,0.88365417607914,0.981510903561602,-5.71148535680952,"P60","Cbfa2t31"
