"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ankrd12",3.29882077900828e-07,0.217910471517769,1,1,0.00572840228274788
"Gad2",3.44498267025794e-07,0.270879867522074,1,1,0.00598221240690291
"H3f3b",4.2538504997574e-07,0.215366923171388,1,1,0.00738681139282872
"Rps16",9.52905579443567e-07,0.209473887514549,1,1,0.0165472053870375
"1700020I14Rik",1.0109695363019e-06,0.210264653446054,1,1,0.0175554859978826
"Nptn",1.03007163615288e-06,0.20513803763189,1,1,0.0178871939617948
"Hsp90b1",1.08389070111261e-06,0.204557359402723,1,1,0.0188217620248204
"Nrcam",1.20060957974699e-06,0.200097448427502,1,1,0.0208485853523065
"Hspa5",1.39749722123131e-06,0.204555559881523,1,1,0.0242675392466816
"Negr1",1.40215216974984e-06,0.20669509264354,1,1,0.0243483724277059
"Ntng1",1.72783021882879e-06,0.2070063049668,1,1,0.030003771749962
"Chd3os",1.76229073303501e-06,0.207427070199931,1,1,0.0306021785791529
"Cpne7",1.83712060297089e-06,0.201257648057293,1,1,0.0319015992705895
"Olfm1",2.1222965847515e-06,0.201558995985528,1,1,0.0368536801942097
"Hap1",2.14562086690109e-06,0.204188208747171,1,1,0.0372587063537375
"Ube2b",2.18004949133184e-06,0.201100336966559,1,1,0.0378565594169775
"Rps8",2.38738664152422e-06,0.196784741616809,1,1,0.041456969030068
