"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snhg11",4.11834887057184e-11,-0.243441137977759,1,1,7.11774235300931e-07
"Rab6b",4.33194434100549e-11,-0.179390087422516,1,1,7.48689940455978e-07
"Tspan13",4.54067265012292e-11,-0.186993243927917,1,1,7.84764454120745e-07
"Kif21a",4.8945424738435e-11,-0.169960217681488,1,1,8.45923775754372e-07
"Ranbp2",5.1487794314446e-11,-0.184650780420236,1,1,8.89863549136571e-07
"Arglu1",5.2376447767692e-11,-0.176220180875919,1,1,9.0522214676902e-07
"Pdp1",5.32815939689441e-11,-0.189751301536795,1,1,9.20865788565262e-07
"Kcnma1",5.6169322494678e-11,-0.172411897568406,1,1,9.7077440067552e-07
"Syp",5.76325563217169e-11,-0.183787986135654,1,1,9.96063470908233e-07
"Mbnl2",5.81429166847321e-11,-0.170981532952959,1,1,1.00488402906223e-06
"Trank1",7.51308771039391e-11,-0.171317778276515,1,1,1.29848694898738e-06
"Aplp2",7.99035002775551e-11,-0.174821023840185,1,1,1.38097219529699e-06
"Frrs1l",8.27126406595175e-11,-0.18318289061888,1,1,1.42952256851844e-06
"Nsd1",9.41686938677424e-11,-0.17888937001342,1,1,1.62751753611619e-06
"Ndfip1",1.01940439787265e-10,-0.175948866156673,1,1,1.76183662084331e-06
"Enpp2",1.03696745743228e-10,-0.179410021268498,1,1,1.7921908566802e-06
"Dmtn",1.36719230785108e-10,-0.182205243725187,1,1,2.36291846565902e-06
"Adgrl1",1.44427737193949e-10,-0.178526642608419,1,1,2.49614458192302e-06
"C230004F18Rik",1.59368948133808e-10,-0.17103524428124,1,1,2.7543735305966e-06
"Rtn4",1.61472554210381e-10,-0.167888328963957,1,1,2.79073015441801e-06
"Slc12a5",1.65744690685715e-10,-0.175640616735485,1,1,2.86456548912122e-06
"Arhgap32",1.78618131669009e-10,-0.175529587425298,1,1,3.08705716963548e-06
"Gria3",1.92972157127061e-10,-0.178619866033867,1,1,3.335137791627e-06
"Miat",1.95361003910702e-10,-0.183631207158605,1,1,3.37642423058866e-06
"Mapt",2.18075800781529e-10,-0.162237868235732,1,1,3.76900406490717e-06
"Ppp1r9a",2.39812592498124e-10,-0.174619162335295,1,1,4.14468103614507e-06
"Gpr26",2.44753861473376e-10,-0.1805078605903,1,1,4.23008098784435e-06
"Ptprn",2.59030697657738e-10,-0.172983046278081,1,1,4.47682754761868e-06
"A830036E02Rik",2.69219701024908e-10,-0.200870268255276,1,1,4.65292409281348e-06
"Dock3",2.94456348451105e-10,-0.164682386845221,1,1,5.08908907028045e-06
"Scn2a",3.24013181225876e-10,-0.162600271515208,1,1,5.59991981112681e-06
"Cpe",3.89416171513207e-10,-0.178626978112872,1,1,6.73027969226276e-06
"Pacsin1",4.0218344522246e-10,-0.165182769130068,1,1,6.95093648377977e-06
"Gria2",4.16697185694023e-10,-0.175406648993694,1,1,7.2017774603498e-06
"Fam171b",4.29074086443976e-10,-0.164225697272436,1,1,7.41568743601124e-06
"Lsamp",4.30050675502618e-10,-0.178359051716394,1,1,7.43256582471175e-06
